LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
A Massive Ziggurat	1	3	0	0	0	0	0	0	
A Mob of Zeppelin Protesters	4	0	4	0	0	0	0	0	
A-Boo Peak	9	0	4	0	0	0	0	0	
An Overgrown Shrine (Northeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Northwest)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southwest)	1	3	1	0	0	0	0	0	
Chateau Painting	0	1	0	0	0	0	0	0	
Cobb's Knob Harem	3	1	2	1	0	0	0	1	
Cobb's Knob Treasury	0	1	0	0	0	0	0	0	
Cook 1 bottle of Chateau de Vinegar + 1 blasting soda	1	0	1	0	0	0	0	0	
Dr. Awkward's Office	2	0	1	0	0	0	0	0	
Dr. Gordon Stuart's Science Tent	0	1	0	0	0	0	0	0	
Fastest Adventurer Contest	1	0	0	0	0	0	0	0	
God Lobster	0	3	0	0	0	0	0	0	
Guano Junction	1	0	1	0	0	0	0	0	
Haert of the Cyrpt	1	0	0	0	0	0	0	0	
Hippy Camp	2	1	0	0	0	0	0	1	
Infernal Rackets Backstage	23	1	5	0	0	0	0	0	
Inside the Palindome	11	4	3	2	0	0	0	2	
Madness Bakery	0	2	0	0	0	0	0	0	
Mist-Shrouded Peak	4	0	0	0	0	0	0	0	
Oil Peak	7	0	1	0	0	0	0	0	
Rain-Doh box full of monster	3	0	0	0	0	0	0	0	
Spookiest Adventurer Contest	1	0	0	0	0	0	0	0	
Strongest Adventurer Contest	1	0	0	0	0	0	0	0	
Summoning Chamber	1	0	0	0	0	0	0	0	
The Arid, Extra-Dry Desert	21	5	0	0	3	0	0	0	
The Beanbat Chamber	1	1	0	0	0	0	0	0	
The Black Forest	14	0	4	0	0	0	0	0	
The Boss Bat's Lair	7	0	0	0	0	0	0	0	
The Castle in the Clouds in the Sky (Basement)	2	1	2	0	0	0	0	0	
The Castle in the Clouds in the Sky (Ground Floor)	13	1	2	0	0	0	0	0	
The Castle in the Clouds in the Sky (Top Floor)	10	2	2	0	0	0	0	0	
The Copperhead Club	8	8	4	0	0	0	0	8	
