day	turnSpent	free?	location	encounterName	familiar	items	meat	rounds	mus	mys	mox	advsGained	effectsGained	itemsUsed	skillsUsed	freeRun?	banish	freeKill	sniff	spit	copy	macroFrom	
1	1	true	Combing the Beach	N/A	none		0	-1	0	0	0	0	 | You Learned Something Maybe! (50)			0	0	0	0	0	0		
1	1	true	Boxing Daycare	Have a Boxing Daydream	none	 | glass of raw eggs	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Boxing Daycare	Enter the Boxing Daycare	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	1952 Mickey Mantle	none	 | 1952 Mickey Mantle card	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	XVI - The Tower	none	 | Sneaky Pete's key	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Cook 7 wad of dough + 7 soda water	N/A	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Cook 16 wad of dough + 16 soda water	N/A	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	The Tunnel of L.O.V.E.	Rogue Program		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Enforcer	Rogue Program		0	2	0	0	0	0			 | BAD MEDICINE	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Equipment Room	Rogue Program		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Engineer	Rogue Program	 | LOV Earrings | Source essence (2)	10	9	17	13	32	0		|Time-Spinner	 | BAD MEDICINE | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | GOOD MEDICINE | SUMMON LOVE STINKBUG	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emergency Room	Rogue Program		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Equivocator	Rogue Program	 | Source essence (2) | Game Grid token	12	9	0	0	0	0	 | Lovebotamy (50)	|Time-Spinner	 | BAD MEDICINE | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | GOOD MEDICINE | SUMMON LOVE STINKBUG	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emporium	Rogue Program	 | LOV Extraterrestrial Chocolate	0	-1	19	14	36	0				0	0	0	0	0	0		
1	1	true	Rest in your bed in the Chateau	N/A	Rogue Program		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Rest in your bed in the Chateau	N/A	Rogue Program		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Rest in your bed in the Chateau	N/A	Rogue Program		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Rest in your bed in the Chateau	N/A	Rogue Program		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	TRUE	CONSUME: eat 1 fortune cookie	N/A	Rogue Program		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Haunted Kitchen	The Icewoman	Rogue Program	 | Source essence (3) | psychokinetic energy blob (5) | Game Grid token	12	11	15	12	31	0	 | Misty Form (1)	|Time-Spinner	 | GULP LATTE | BAD MEDICINE | BECOME A CLOUD OF MIST | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | GOOD MEDICINE	0	0	0	0	0	0		
1	1	true	Cook 1 wad of dough + 1 soda water	N/A	Rogue Program	 | loaf of soda bread	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Outskirts of Cobb's Knob	sausage goblin	Baby Sandworm	 | Source essence (2) | unusual oil | bag of GORP | magical sausage casing	171	9	20	23	52	0		|Time-Spinner	 | BAD MEDICINE | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | EXTRACT OIL | GOOD MEDICINE	0	0	0	0	0	0		
1	1	false	The Outskirts of Cobb's Knob	The Ghost of Dr. Hobo Jones	Rogue Program	 | Dr. Hobo's map	0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	The Outskirts of Cobb's Knob	slime blob	Baby Sandworm	 | Source essence (3) | unusual oil | green slime glob | orange slime glob | white pixel	14	10	20	22	42	0		|Time-Spinner	 | BAD MEDICINE | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | GOOD MEDICINE | EXTRACT OIL | SNAKEWHIP	0	0	0	0	0	0		
1	2	false	The Outskirts of Cobb's Knob	Knob Goblin Barbecue Team	Rogue Program	 | Source essence (3) | bowl of cottage cheese | Knob Goblin tongs	35	7	14	4	44	0		|Time-Spinner	 | BAD MEDICINE | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG	0	0	0	0	0	0		
1	3	true	The Outskirts of Cobb's Knob	sausage goblin	Baby Sandworm	 | Source essence (3) | unusual oil | magical sausage casing	161	9	22	23	52	0		|Time-Spinner	 | BAD MEDICINE | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | EXTRACT OIL | GOOD MEDICINE	0	0	0	0	0	0		
1	3	true	The Outskirts of Cobb's Knob	When Rocks Attack	Rogue Program		0	-1	0	0	0	0				0	0	0	0	0	0		
1	3	false	The Outskirts of Cobb's Knob	Knob Goblin Assistant Chef	Baby Sandworm	 | Source essence (2) | unusual oil | Knob Goblin pants | chef's hat | green pixel | agua de vida | Nightmare Fuel	27	9	13	12	36	0		|Time-Spinner	 | BAD MEDICINE | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | EXTRACT OIL | GOOD MEDICINE	0	0	0	0	0	0		
1	4	true	The Outskirts of Cobb's Knob	sausage goblin	Rogue Program	 | Source essence | bone with a price tag on it | magical sausage casing | Game Grid token	147	8	20	18	58	0		|Time-Spinner	 | BAD MEDICINE | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | GOOD MEDICINE	0	0	0	0	0	0		
1	4	false	The Outskirts of Cobb's Knob	sleeping Knob Goblin Guard	Rogue Program	 | Source essence (2) | water purification pills | viking helmet | Knob Goblin scimitar | white pixel	23	8	18	12	28	0		|Time-Spinner	 | BAD MEDICINE | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | GOOD MEDICINE	0	0	0	0	0	0		
1	5	false	The Outskirts of Cobb's Knob	Sub-Assistant Knob Mad Scientist	Rogue Program	 | Source essence | strongness elixir | Knob Goblin firecracker | Knob Goblin Mutagen	28	8	14	9	36	0		|Time-Spinner	 | BAD MEDICINE | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | GOOD MEDICINE	0	0	0	0	0	0		
1	6	false	The Outskirts of Cobb's Knob	Knob Goblin Barbecue Team	Rogue Program	 | Source essence (3) | bowl of cottage cheese	31	8	13	12	34	0		|Time-Spinner	 | BAD MEDICINE | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | GOOD MEDICINE	0	0	0	0	0	0		
1	7	false	The Outskirts of Cobb's Knob	Code Red	Rogue Program	 | Knob Goblin encryption key	0	-1	0	0	0	0				0	0	0	0	0	0		
1	8	false	The Haunted Kitchen	zombie chef	Trick-or-Treating Tot	 | Source essence (3) | eldritch oil | stale baguette | bottle of cooking sherry | white pixel	47	10	14	8	47	0		|Time-Spinner	 | BAD MEDICINE | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | EXTRACT OIL | GOOD MEDICINE | SNAKEWHIP	0	0	0	0	0	0		
1	9	false	The Haunted Kitchen	demonic icebox	Rogue Program	 | Source essence | leftovers of indeterminate origin | dire fudgesicle	38	10	14	9	45	0	 | Misty Form (1)	|Time-Spinner	 | BAD MEDICINE | BECOME A CLOUD OF MIST | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | GOOD MEDICINE | SNAKEWHIP	0	0	0	0	0	0		
1	10	false	The Haunted Kitchen	aggressive grass snake	Trick-or-Treating Tot	 | Source essence (2) | snake oil	14	9	18	14	36	0		|Time-Spinner	 | BAD MEDICINE | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | EXTRACT OIL | GOOD MEDICINE	0	0	0	0	0	0		
1	11	true	Cook 1 eldritch oil + 1 snake oil	N/A	Trick-or-Treating Tot	 | patent invisibility tonic	0	-1	0	0	0	0				0	0	0	0	0	0		
1	11	true	The Haunted Kitchen	Lights Out in the Kitchen	Rogue Program		0	-1	0	0	0	0				0	0	0	0	0	0		
