day	turnSpent	free?	location	encounterName	familiar	items	meat	rounds	mus	mys	mox	advsGained	effectsGained	itemsUsed	skillsUsed	freeRun?	banish	freeKill	sniff	spit	copy	macroFrom	
1	1	true	Boxing Daycare	Have a Boxing Daydream	none	 | glass of raw eggs	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	XVI - The Tower	none	 | Jarlsberg's key	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Boxing Daycare	Enter the Boxing Daycare	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Neverending Party	N/A	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Neverending Party	burnout	none	 | van key | jam band bootleg	56	4	13	5	8	0			 | DRAGOON PLATOON	0	0	0	0	0	0		
1	1	true	Deck of Every Card	XXI - The World	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	1952 Mickey Mantle	none	 | 1952 Mickey Mantle card	0	-1	0	0	0	0				0	0	0	0	0	0		
2	1	true	Boxing Daycare	Have a Boxing Daydream	none	 | glass of raw eggs	0	-1	0	0	0	0				0	0	0	0	0	0		
2	1	true	Your Witchess Set	Play against the Witchess Pieces	none		0	-1	0	0	0	0				0	0	0	0	0	0		
2	1	true	Your Witchess Set	Witchess Rook	none	 | Source essence | Greek fire	0	10	30	14	15	0			 | DIGITIZE | DRAGOON PLATOON | EXTRACT | MIGHTY AXING | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | SUMMON LOVE MOSQUITO	0	0	0	0	0	1		
2	1	true	Your Witchess Set	N/A	none		0	-1	0	0	0	0				0	0	0	0	0	0		
2	1	true	Deck of Every Card	1952 Mickey Mantle	none	 | 1952 Mickey Mantle card	0	-1	0	0	0	0				0	0	0	0	0	0		
2	1	true	Pump Up Moxie	N/A	none		0	-1	0	0	0	0				0	0	0	0	0	0		
2	1	true	Pump Up Moxie	N/A	none		0	-1	0	0	0	0				0	0	0	0	0	0		
