LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
A Barroom Brawl	6	0	1	0	0	0	0	0	
A Massive Ziggurat	4	0	0	0	0	0	0	0	
A Mob of Zeppelin Protesters	7	0	5	0	0	0	0	0	
A-Boo Peak	11	1	5	0	0	0	0	0	
An Overgrown Shrine (Northeast)	4	0	1	0	0	0	0	0	
An Overgrown Shrine (Northwest)	4	0	1	0	0	0	0	0	
An Overgrown Shrine (Southeast)	4	0	1	0	0	0	0	0	
An Overgrown Shrine (Southwest)	4	0	1	0	0	0	0	0	
Chateau Painting	0	1	0	0	0	0	0	0	
Cobb's Knob Harem	5	2	1	2	0	0	0	2	
Dr. Awkward's Office	2	0	1	0	0	0	0	0	
Dr. Gordon Stuart's Science Tent	0	1	0	0	0	0	0	0	
Fastest Adventurer Contest	9	0	0	0	0	0	0	0	
Guano Junction	1	0	1	0	0	0	0	0	
Haert of the Cyrpt	1	0	0	0	0	0	0	0	
Hippy Camp	1	0	0	0	0	0	0	0	
Infernal Rackets Backstage	17	1	5	0	0	0	0	0	
Inside the Palindome	7	3	3	0	0	0	0	0	
Itznotyerzitz Mine	1	0	0	0	0	0	0	0	
Lair of the Ninja Snowmen	5	0	0	0	0	0	0	0	
Mist-Shrouded Peak	4	0	0	0	0	0	0	0	
Near an Abandoned Refrigerator	1	0	0	0	0	0	0	0	
Next to that Barrel with Something Burning in it	3	0	0	1	0	0	0	0	
Oil Peak	7	0	1	0	0	0	0	0	
Out by that Rusted-Out Car	1	0	0	0	0	0	0	0	
Over Where the Old Tires Are	1	1	0	1	0	0	0	1	
Sleaziest Adventurer Contest	10	0	0	0	0	0	0	0	
Smoothest Adventurer Contest	4	0	0	0	0	0	0	0	
Sonofa Beach	1	0	0	0	0	0	1	0	
Summoning Chamber	1	0	0	0	0	0	0	0	
The Arid, Extra-Dry Desert	20	6	0	0	6	0	0	0	
The Bandit Crossroads	5	0	0	0	0	0	0	0	
The Battlefield (Frat Uniform)	42	2	1	0	0	0	0	0	
The Beanbat Chamber	3	0	0	0	0	0	0	0	
The Black Forest	19	0	5	0	0	0	0	0	
The Boss Bat's Lair	7	0	0	0	0	0	0	0	
The Castle in the Clouds in the Sky (Basement)	1	0	1	0	0	0	0	0	
The Castle in the Clouds in the Sky (Ground Floor)	10	1	3	0	0	0	0	0	
The Castle in the Clouds in the Sky (Top Floor)	2	0	2	0	0	0	0	0	
The Copperhead Club	15	0	4	0	0	0	0	0	
The Dark Elbow of the Woods	10	0	4	0	0	0	0	0	
The Dark Heart of the Woods	12	0	4	0	0	0	0	0	
The Dark Neck of the Woods	14	0	4	0	0	0	0	0	
The Defiled Alcove	10	0	0	0	0	0	0	0	
The Defiled Cranny	5	0	0	0	0	0	0	0	
The Defiled Niche	14	1	0	1	0	0	0	0	
The Defiled Nook	7	1	0	0	0	0	0	0	
The Feeding Chamber	1	0	0	0	0	0	0	0	
The Filthworm Queen's Chamber	1	0	0	0	0	0	0	0	
The Goatlet	4	1	0	2	0	0	0	1	
The Hatching Chamber	1	0	0	0	0	0	0	0	
The Haunted Ballroom	6	1	3	0	0	0	0	0	
The Haunted Bathroom	10	2	2	1	0	0	0	0	
The Haunted Bedroom	5	2	0	2	0	0	0	1	
The Haunted Billiards Room	4	0	2	0	0	0	0	0	
The Haunted Conservatory	5	3	1	0	0	0	0	0	
The Haunted Gallery	13	4	3	1	0	0	0	1	
The Haunted Kitchen	12	3	1	0	0	0	0	0	
The Haunted Laboratory	6	0	1	0	0	0	0	0	
The Haunted Library	8	2	0	1	0	0	0	0	
The Haunted Storage Room	6	0	1	0	0	0	0	0	
The Hedge Maze	4	0	4	0	0	0	0	0	
The Hidden Apartment Building	8	1	0	2	0	0	0	1	
The Hidden Bowling Alley	11	3	4	0	0	0	0	0	
The Hidden Hospital	8	2	0	1	0	0	0	0	
The Hidden Office Building	5	0	1	0	0	0	0	0	
The Hidden Temple	5	0	4	0	0	0	0	0	
The Hole in the Sky	9	0	0	0	0	0	0	0	
The Icy Peak	6	0	1	0	0	0	0	0	
The Knob Shaft	6	0	1	0	0	0	0	0	
The Laugh Floor	23	0	0	0	0	0	0	0	
The Lower Chambers	10	0	3	0	0	0	0	0	
The Luter's Grave	1	0	0	0	0	0	0	0	
The Middle Chamber	9	2	3	3	0	0	0	2	
The Naughty Sorceress' Chamber	1	2	0	0	0	0	0	0	
The Naughty Sorceress' Tower	5	1	0	0	0	0	0	0	
The Neverending Party	0	10	0	0	0	0	0	0	
The Oasis	6	0	1	0	0	0	0	0	
The Outskirts of Cobb's Knob	10	1	2	0	0	0	0	0	
The Overgrown Lot	11	0	2	0	0	0	0	0	
The Penultimate Fantasy Airship	43	4	6	7	0	0	0	5	
The Red Zeppelin	8	2	0	0	1	0	0	0	
The Royal Guard Chamber	1	0	0	0	0	0	0	0	
The Shore, Inc. Travel Agency	4	0	4	0	0	0	0	0	
The Smut Orc Logging Camp	19	1	5	0	0	0	0	0	
The Spooky Forest	8	4	5	0	0	0	0	0	
The Tavern Cellar	10	0	5	0	0	0	0	0	
The Tunnel of L.O.V.E.	0	6	0	0	0	0	0	0	
The Unquiet Garves	6	0	0	0	0	0	0	0	
The Upper Chamber	6	0	3	0	0	0	0	0	
The X-32-F Combat Training Snowman	2	9	0	0	0	0	0	0	
Throne Room	1	0	0	0	0	0	0	0	
Twin Peak	4	2	2	1	0	0	0	1	
Wartime Hippy Camp	2	0	1	0	0	0	0	0	
Wartime Hippy Camp (Frat Disguise)	11	0	1	0	0	0	0	0	
Whitey's Grove	2	0	0	0	0	0	0	0	
Your Witchess Set	0	15	0	0	0	0	3	0	
genie summoned monster	3	1	0	0	0	0	0	0	
rusty hedge trimmers	1	0	1	0	0	0	0	0	
white page	1	0	0	0	0	0	0	0	

====================
FAMILIAR	TURNS	ACTIONS	ACTIONTYPE
none	651	0		

====================
PILLTYPE	DAY	TURN
Monday - Explodinall	2	188	
Wednesday - Sneakisol	2	220	
Monday - Explodinall	2	258	
Sunday - Surprise Me	2	268	
Sunday - Surprise Me	2	268	
Sunday - Surprise Me	2	269	
Wednesday - Sneakisol	3	331	
Wednesday - Sneakisol	3	342	
Wednesday - Sneakisol	3	343	
Wednesday - Sneakisol	3	474	
Wednesday - Sneakisol	3	475	
Monday - Explodinall	3	524	
Monday - Explodinall	4	539	

====================
PULL	DAY	TURN	NUMBER
 cursed pony keg	1	1	1	
 brick	1	1	2	
 brick	1	1	3	
 brick	1	1	4	
 brick	1	1	5	
 brick	1	1	6	
 brick	1	1	7	
 brick	1	1	8	
 brick	1	1	9	
 brick	1	1	10	
 brick	1	1	11	
 brick	1	1	12	
 brick	1	1	13	
 brick	1	1	14	
 brick	1	1	15	
 brick	1	1	16	
 brick	1	1	17	
 brick	1	1	18	
 brick	1	1	19	
 brick	1	1	20	
 brick	1	1	21	
 brick	1	1	22	
 brick	1	1	23	
 brick	1	1	24	
 brick	1	1	25	
 brick	1	1	26	
 brick	1	1	27	
 brick	1	1	28	
 brick	1	1	29	
 brick	1	1	30	
 brick	1	1	31	
 brick	1	1	32	
 brick	1	1	33	
 brick	1	1	34	
 brick	1	1	35	
 brick	1	1	36	
 brick	1	1	37	
 brick	1	1	38	
 brick	1	1	39	
 brick	1	1	40	
 brick	1	1	41	
 brick	1	1	42	
 brick	1	1	43	
 brick	1	1	44	
 brick	1	1	45	
 brick	1	1	46	
 brick	1	1	47	
 brick	1	1	48	
 brick	1	1	49	
 brick	1	1	50	
 brick	1	1	51	
 brick	1	1	52	
 brick	1	1	53	
 brick	1	1	54	
 brick	1	1	55	
 brick	1	1	56	
 brick	1	1	57	
 brick	1	1	58	
 brick	1	1	59	
 brick	1	1	60	
