day	turnSpent	free?	location	encounterName	familiar	items	meat	rounds	mus	mys	mox	advsGained	effectsGained	itemsUsed	skillsUsed	freeRun?	banish	freeKill	sniff	spit	copy	macroFrom	
1	1	true	Smith 1 lump of Brituminous coal + 1 pasta spoon	N/A	none	 | Hand that Rocks the Ladle	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Smith 1 lump of Brituminous coal + 1 maiden wig	N/A	none	 | Hairpiece On Fire	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Combing the Beach	N/A	none		0	-1	0	0	0	0	 | You Learned Something Maybe! (50)			0	0	0	0	0	0		
1	1	true	Deck of Every Card	1952 Mickey Mantle	none	 | 1952 Mickey Mantle card	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	XVI - The Tower	none	 | Sneaky Pete's key	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Cook 7 wad of dough + 7 soda water	N/A	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Cook 16 wad of dough + 16 soda water	N/A	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	The Tunnel of L.O.V.E.	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Entrance	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Enforcer	Baby Sandworm		0	0	0	0	0	0				0	0	0	0	0	0		
1	1	true	Noob Cave	LOV Enforcer	Baby Sandworm	 | Source essence (3)	0	5	0	0	0	0			 | MICROMETEORITE | COWBOY KICK | SUMMON LOVE MOSQUITO | EXTRACT	0	0	0	0	0	0		
1	1	true	Noob Cave	L.O.V. Engine Room	Baby Sandworm	 | LOV Epaulettes	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Noob Cave	LOV Engineer	Baby Sandworm		0	0	0	0	0	0				0	0	0	0	0	0		
1	1	true	Noob Cave	LOV Engineer	Baby Sandworm	 | Source essence (3)	10	11	27	44	8	0		|Time-Spinner	 | CURSE OF WEAKSAUCE | MICROMETEORITE | COWBOY KICK | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | SAUCESTORM | SAUCESTORM	0	0	0	0	0	0		
1	1	true	Noob Cave	L.O.V. Elbow Room	Baby Sandworm		0	-1	0	0	0	0	 | Lovebotamy (50)			0	0	0	0	0	0		
1	1	true	Noob Cave	LOV Equivocator	Baby Sandworm		0	0	0	0	0	0				0	0	0	0	0	0		
1	1	true	Noob Cave	LOV Equivocator	Baby Sandworm	 | Source essence (3) | LOV Extraterrestrial Chocolate	11	9	14	49	23	0		|Time-Spinner	 | CURSE OF WEAKSAUCE | MICROMETEORITE | COWBOY KICK | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SAUCESTORM	0	0	0	0	0	0		
1	1	true	Rest in your bed in the Chateau	N/A	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Rest in your bed in the Chateau	N/A	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Rest in your bed in the Chateau	N/A	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Rest in your bed in the Chateau	N/A	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Rest in your bed in the Chateau	N/A	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Rest in your bed in the Chateau	N/A	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Rest in your bed in the Chateau	N/A	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	TRUE	CONSUME: drink 1 Lucky Lindy	N/A	Baby Sandworm		0	-1	0	0	0	3				0	0	0	0	0	0		
1	1	true	The Haunted Kitchen	The Icewoman	Baby Sandworm	 | Source essence | spooky powder | bag of GORP | psychokinetic energy blob (3)	14	11	22	57	17	0		|Time-Spinner	 | GULP LATTE | CURSE OF WEAKSAUCE | MICROMETEORITE | COWBOY KICK | SUMMON LOVE MOSQUITO | EXTRACT | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | SAUCESTORM	0	0	0	0	0	0		
