LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
8-Bit Realm	12	1	0	0	0	0	0	0	
A Massive Ziggurat	1	3	0	0	0	0	0	0	
A Mob of Zeppelin Protesters	24	0	9	0	0	0	0	0	
A-Boo Peak	8	0	4	0	0	0	0	0	
An Overgrown Shrine (Northeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Northwest)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southwest)	1	3	1	0	0	0	0	0	
Boxing Daycare	1	0	1	0	0	0	0	0	
Chateau Painting	0	1	0	0	0	0	0	0	
Cobb's Knob Harem	1	3	1	0	0	0	0	0	
Cobb's Knob Laboratory	6	1	1	0	0	0	2	0	
Dr. Awkward's Office	1	0	1	0	0	0	0	0	
Dr. Gordon Stuart's Science Tent	0	2	0	0	0	0	0	0	
Engineering	18	2	2	1	0	0	0	1	
Evoke Eldritch Horror	0	1	0	0	0	0	0	0	
Frat House	0	1	0	0	0	0	0	0	
Galley	13	6	2	0	6	0	0	0	
Guano Junction	1	0	1	0	0	0	0	0	
Haert of the Cyrpt	1	0	0	0	0	0	0	0	
Inside the Palindome	15	3	3	2	0	0	0	2	
Lair of the Ninja Snowmen	19	2	0	0	0	0	0	2	
Madness Bakery	0	1	0	0	0	0	0	0	
Medbay	16	0	0	0	0	0	0	0	
Mist-Shrouded Peak	4	0	0	0	0	0	0	0	
Morgue	21	2	7	0	0	0	0	0	
Navigation	12	1	2	1	0	0	0	1	
Near an Abandoned Refrigerator	1	0	0	0	0	0	0	0	
Next to that Barrel with Something Burning in it	1	0	0	0	0	0	0	0	
Noob Cave	7	24	0	0	0	0	0	0	
Oil Peak	7	2	1	0	0	0	0	0	
Out by that Rusted-Out Car	2	0	0	0	0	0	0	0	
Over Where the Old Tires Are	1	0	0	0	0	0	0	0	
Science Lab	38	0	2	0	0	0	0	0	
Sonar	7	0	3	0	0	0	0	0	
Sonofa Beach	1	0	0	0	0	0	1	0	
Special Ops	28	0	20	0	0	0	0	0	
Summoning Chamber	1	0	0	0	0	0	0	0	
The Arid, Extra-Dry Desert	16	11	0	0	3	0	0	0	
The Batrat and Ratbat Burrow	4	0	0	0	0	0	0	0	
The Battlefield (Frat Uniform)	50	0	1	0	0	0	0	0	
The Beanbat Chamber	3	2	0	0	0	0	1	1	
The Black Forest	13	0	2	0	0	0	0	0	
The Boss Bat's Lair	7	0	0	0	0	0	0	0	
The Castle in the Clouds in the Sky (Basement)	1	0	1	0	0	0	0	0	
The Castle in the Clouds in the Sky (Ground Floor)	10	1	1	1	0	0	0	1	
The Castle in the Clouds in the Sky (Top Floor)	10	0	2	0	0	0	0	0	
The Copperhead Club	14	1	4	0	1	0	0	0	
The Dark Elbow of the Woods	11	0	4	0	0	0	0	0	
The Dark Heart of the Woods	14	0	4	0	0	0	0	0	
The Dark Neck of the Woods	12	0	4	0	0	0	0	0	
The Deep Machine Tunnels	1	7	1	0	0	0	0	0	
The Defiled Alcove	7	0	0	0	0	0	0	0	
The Defiled Cranny	3	0	0	0	0	0	0	0	
The Defiled Niche	9	4	0	0	0	0	0	0	
The Defiled Nook	9	0	0	0	0	0	0	0	
The Feeding Chamber	1	0	0	0	0	0	0	0	
The Filthworm Queen's Chamber	1	0	0	0	0	0	0	0	
The Goatlet	4	2	1	1	0	0	0	1	
The Hatching Chamber	1	0	0	0	0	0	0	0	
The Haunted Ballroom	3	3	2	0	0	0	0	0	
The Haunted Bathroom	2	5	0	0	1	0	0	0	
The Haunted Bedroom	3	4	0	4	0	0	0	4	
The Haunted Billiards Room	2	0	2	0	0	0	0	0	
The Haunted Boiler Room	1	0	0	0	0	0	0	0	
The Haunted Conservatory	0	1	0	0	0	0	0	0	
The Haunted Gallery	15	4	1	0	0	0	0	0	
The Haunted Kitchen	6	2	0	0	0	0	0	0	
The Haunted Laundry Room	3	1	0	1	0	0	0	1	
The Haunted Library	5	2	0	2	0	0	0	2	
The Haunted Pantry	5	1	2	0	0	0	0	0	
The Haunted Wine Cellar	2	2	0	2	0	0	0	2	
The Hidden Apartment Building	8	1	0	0	0	0	0	0	
The Hidden Bowling Alley	11	0	4	0	0	0	0	0	
The Hidden Hospital	5	2	0	2	0	0	0	2	
The Hidden Office Building	10	1	1	1	0	0	0	1	
The Hidden Park	7	0	3	0	0	0	0	0	
The Hidden Temple	5	0	4	0	0	0	0	0	
The Hippy Camp (Bombed Back to the Stone Age)	2	0	0	0	0	0	0	0	
The Hole in the Sky	6	0	0	0	0	0	0	0	
The Lower Chambers	10	0	3	0	0	0	0	0	
The Middle Chamber	5	6	2	1	3	0	0	1	
The Neverending Party	0	18	0	0	0	0	0	0	
The Oasis	6	3	4	0	0	0	0	0	
The Obligatory Pirate's Cove	5	0	1	0	0	0	0	0	
The Outskirts of Cobb's Knob	8	3	2	0	0	0	0	0	
The Overgrown Lot	0	1	0	0	0	0	0	0	
The Penultimate Fantasy Airship	52	7	6	1	0	0	2	1	
The Red Zeppelin	5	4	0	1	2	0	0	1	
The Royal Guard Chamber	1	0	0	0	0	0	0	0	
The Shore, Inc. Travel Agency	5	0	5	0	0	0	0	0	
The Sleazy Back Alley	3	0	1	0	0	0	0	0	
The Smut Orc Logging Camp	25	2	3	0	0	0	0	0	
The Spooky Forest	12	6	5	0	3	0	0	0	
The Tavern Cellar	2	0	2	0	0	0	0	0	
The Themthar Hills	11	0	0	0	0	0	0	0	
The Unquiet Garves	1	0	0	0	0	0	0	0	
The Upper Chamber	5	1	4	0	1	0	0	0	
The VERY Unquiet Garves	14	10	0	3	4	0	0	5	
The X-32-F Combat Training Snowman	0	11	0	0	0	0	0	0	
Throne Room	1	0	0	0	0	0	0	0	
Twin Peak	5	3	2	0	0	0	0	0	
Wartime Hippy Camp	8	0	1	0	0	0	0	0	
Waste Processing	22	1	2	0	0	0	0	0	
Whitey's Grove	3	0	0	0	0	0	0	0	
rusty hedge trimmers	1	0	1	0	0	0	0	0	
wax bugbear	20	0	0	0	0	0	0	0	

====================
FAMILIAR	TURNS	ACTIONS	ACTIONTYPE
Reassembled Blackbird	3	0		
Jumpsuited Hound Dog	31	0		
Green Pixie	25	0		
Hobo Monkey	23	0		
Baby Sandworm	8	0		
Rogue Program	23	0		
Pair of Stomping Boots	72	6	runs	
Bloovian Groose	5	0		
Blavious Kloop	15	0		
Artistic Goth Kid	85	0		
Nanorhino	1	0		
Nosy Nose	5	0		
Reanimated Reanimator	7	0		
Ms. Puck Man	218	0		
