day	turnSpent	free?	location	encounterName	familiar	items	meat	rounds	mus	mys	mox	advsGained	effectsGained	itemsUsed	skillsUsed	freeRun?	banish	freeKill	sniff	spit	copy	macroFrom	
1	1	true	Boxing Daycare	Have a Boxing Daydream	Ms. Puck Man	 | body spradium	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Combing the Beach	N/A	Ms. Puck Man		0	-1	0	0	0	0	 | A Brush with Grossness (50)			0	0	0	0	0	0		
1	1	true	Combing the Beach	N/A	Ms. Puck Man		0	-1	0	0	0	0	 | Hot-Headed (50)			0	0	0	0	0	0		
1	1	true	The Haunted Kitchen	sausage goblin	Ms. Puck Man	 | cold powder	0	5	0	0	0	0			 | FESTOON BUFFOON | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | SUMMON LOVE MOSQUITO	0	0	0	0	0	0		
1	1	false	The Haunted Kitchen	skullery maid	Ms. Puck Man	 | yellow pixel	14	3	1	4	5	0			 | FESTOON BUFFOON	0	0	0	0	0	0		
1	2	true	God Lobster	the God Lobster	God Lobster	 | bag of GORP	0	3	7	5	23	0			 | FESTOON BUFFOON	0	0	0	0	0	0		
1	2	true	God Lobster	Granted a Boon	God Lobster	 | God Lobster's Scepter	0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	Deck of Every Card	1952 Mickey Mantle	God Lobster	 | 1952 Mickey Mantle card	0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	Deck of Every Card	N/A	God Lobster		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	God Lobster	the God Lobster	God Lobster		0	2	9	3	23	0				0	0	0	0	0	0		
1	2	true	God Lobster	Granted a Boon	God Lobster		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	God Lobster	the God Lobster	God Lobster		0	2	13	7	26	0				0	0	0	0	0	0		
1	2	true	God Lobster	Granted a Boon	God Lobster		0	-1	0	0	0	0	 | Intuition of the God Lobster (33)			0	0	0	0	0	0		
1	2	true	Pump Up Moxie	N/A	God Lobster		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	Combing the Beach	N/A	God Lobster		0	-1	0	0	0	0	 | You Learned Something Maybe! (50)			0	0	0	0	0	0		
1	2	true	Boxing Daycare	Visit the Boxing Day Spa	God Lobster		0	-1	0	0	0	0	 | Muddled (100) | substats.enh (100)			0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	The Tunnel of L.O.V.E.	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	LOV Enforcer	Baby Sandworm	 | Source essence (3)	0	7	30	38	133	0			 | FESTOON BUFFOON | SUMMON LOVE GNATS | EXTRACT | SUMMON LOVE MOSQUITO | SUMMON LOVE STINKBUG	0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	L.O.V. Equipment Room	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	LOV Engineer	Baby Sandworm	 | LOV Earrings | Source essence (3)	0	5	48	43	111	0			 | FESTOON BUFFOON | EXTRACT | SUMMON LOVE GNATS	0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	L.O.V. Emergency Room	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	LOV Equivocator	Baby Sandworm	 | Source essence (3) | water purification pills	0	6	45	28	165	0	 | Lovebotamy (50) | The Magic of LOV (5)		 | FESTOON BUFFOON | SUMMON LOVE GNATS | EXTRACT | SUMMON LOVE STINKBUG	0	0	0	0	0	0		
1	2	true	The Tunnel of L.O.V.E.	L.O.V. Emporium	Baby Sandworm	 | LOV Enamorang	0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	The X-32-F Combat Training Snowman	Is This Thing On?  (No.)	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | Source essence (3)	0	3	40	33	112	0			 | EXTRACT	0	0	0	0	0	0		
1	2	true	Deck of Every Card	VI - The Lovers	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	true	Your Witchess Set	Witchess Rook	Baby Sandworm	 | Source essence (2) | Greek fire	0	3	73	70	205	0			 | EXTRACT	0	0	0	0	0	0		
1	2	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | Source essence	0	7	35	56	170	0			 | FESTOON BUFFOON | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | SUMMON LOVE MOSQUITO | EXTRACT	0	0	0	0	0	0		
1	2	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm		0	4	50	45	179	0			 | FESTOON BUFFOON	0	0	0	0	0	0		
1	2	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | Source essence | agua de vida	0	5	63	43	167	0	 | Chunky (5)		 | FESTOON BUFFOON | EXTRACT	0	0	0	0	0	0		
1	2	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | Source essence (2) | agua de vida	0	5	56	50	178	0			 | FESTOON BUFFOON | EXTRACT	0	0	0	0	0	0		
1	2	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | Source essence (2) | Camp Scout pup tent	0	5	58	58	183	0	 | Bad Haircut (1)		 | FESTOON BUFFOON | EXTRACT	0	0	0	0	0	0		
1	2	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | Source essence (3) | iced plum wine | agua de vida	0	5	48	50	202	0	 | Bad Haircut (1)		 | FESTOON BUFFOON | EXTRACT	0	0	0	0	0	0		
1	2	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | Source essence (3)	0	6	65	70	183	0	 | Bad Haircut (1)		 | FESTOON BUFFOON | EXTRACT	0	0	0	0	0	0		
1	2	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | Source essence	0	6	55	73	192	0	 | Bad Haircut (1) | Witch's Brood (5)		 | FESTOON BUFFOON | EXTRACT	0	0	0	0	0	0		
1	2	false	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | Source essence (3)	0	4	0	0	0	0	 | Bad Haircut (1)		 | FESTOON BUFFOON | EXTRACT	0	0	0	0	0	0		
1	3	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm		0	4	65	75	193	0	 | Bad Haircut (1)		 | POISON DART | FESTOON BUFFOON	0	0	0	0	0	0		
1	3	true	Boxing Daycare	Have a Boxing Daydream	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	3	true	Boxing Daycare	Enter the Boxing Daycare	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	3	true	The Neverending Party	N/A	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	3	true	The Neverending Party	&quot;plain&quot; girl	Baby Sandworm	 | Source essence | electronics kit | PB&J with the crusts cut off	177	4	105	80	231	0			 | FESTOON BUFFOON | EXTRACT	0	0	0	0	0	0		
1	3	true	The Neverending Party	jock	Baby Sandworm	 | Source essence (3) | unremarkable duffel bag | Purple Beast energy drink	262	4	93	100	234	0			 | FESTOON BUFFOON | EXTRACT	0	0	0	0	0	0		
1	3	true	The Neverending Party	burnout	Baby Sandworm	 | Source essence | van key | jam band bootleg | denim jacket | ratty knitted cap	92	4	91	83	253	0			 | FESTOON BUFFOON | EXTRACT	0	0	0	0	0	0		
1	3	true	The Neverending Party	jock	Baby Sandworm	 | Source essence (3) | water purification pills | unremarkable duffel bag | Purple Beast energy drink | shoe ad T-shirt	259	5	93	73	266	0	 | Mathematically Precise (5)		 | FESTOON BUFFOON | EXTRACT	0	0	0	0	0	0		
1	3	false	The Neverending Party	party girl	Baby Sandworm	 | Source essence (3)	0	4	0	0	0	0			 | FESTOON BUFFOON | EXTRACT	0	0	0	0	0	0		
1	4	true	The Neverending Party	burnout	Baby Sandworm	 | Source essence | CSA fire-starting kit | van key | agua de vida	88	4	71	90	269	0			 | FESTOON BUFFOON | EXTRACT	0	0	0	0	0	0		
1	4	true	The Neverending Party	party girl	Baby Sandworm	 | Source essence (2) | runproof mascara | very small red dress	197	5	100	88	302	0			 | FESTOON BUFFOON | EXTRACT	0	0	0	0	0	0		
1	4	true	Combing the Beach	N/A	Baby Sandworm		0	-1	0	0	0	0	 | Pomp & Circumsands (50)			0	0	0	0	0	0		
1	4	true	The Neverending Party	Basement Urges	Baby Sandworm		0	-1	0	0	0	0	 | The Best Hair You've Ever Had (20)			0	0	0	0	0	0		
1	4	true	The Neverending Party	&quot;plain&quot; girl	Baby Sandworm	 | Source essence | electronics kit | PB&J with the crusts cut off	188	3	128	150	633	0			 | EXTRACT	0	0	0	0	0	0		
1	4	true	Your Witchess Set	Witchess Rook	Baby Sandworm	 | Greek fire	0	2	159	143	631	0				0	0	0	0	0	0		
1	4	true	Your Witchess Set	Witchess Knight	Baby Sandworm	 | jumping horseradish | agua de vida	0	2	116	85	451	0	 | Elron's Explosive Etude (5)			0	0	0	0	0	0		
1	4	true	Your Witchess Set	Witchess Knight	Baby Sandworm	 | jumping horseradish	0	2	113	123	502	0				0	0	0	0	0	0		
1	4	true	Your Witchess Set	Witchess Knight	Baby Sandworm	 | spooky sound effects record | jumping horseradish	0	2	90	113	543	0				0	0	0	0	0	0		
1	4	true	Chateau Painting	Black Crayon Crimbo Elf	Baby Sandworm	 | crayon shavings	0	3	191	148	686	0			 | DIGITIZE	0	0	0	0	0	1		
