LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
A Massive Ziggurat	1	3	0	0	0	0	0	0	
A Mob of Zeppelin Protesters	22	0	8	0	0	0	0	0	
A-Boo Peak	9	0	5	0	0	0	0	0	
An Overgrown Shrine (Northeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Northwest)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southwest)	1	3	1	0	0	0	0	0	
Boxing Daycare	1	0	1	0	0	0	0	0	
Chateau Painting	0	2	0	0	0	0	1	0	
Cobb's Knob Harem	2	0	2	0	0	0	0	0	
Cobb's Knob Treasury	0	2	0	0	0	0	0	0	
Cook 1 bottle of Chateau de Vinegar + 1 blasting soda	1	0	1	0	0	0	0	0	
Cook 1 grue egg + 1 spooky mushroom	1	0	1	0	0	0	0	0	
Dr. Awkward's Office	2	0	1	0	0	0	0	0	
Dr. Gordon Stuart's Science Tent	0	3	0	0	0	0	0	0	
Fastest Adventurer Contest	2	0	0	0	0	0	0	0	
Frat House	1	0	0	0	0	0	0	0	
God Lobster	0	6	0	0	0	0	0	0	
Guano Junction	1	0	1	0	0	0	0	0	
Haert of the Cyrpt	1	0	0	0	0	0	0	0	
Infernal Rackets Backstage	11	0	4	0	0	0	0	0	
Inside the Palindome	14	2	3	1	0	0	0	1	
Itznotyerzitz Mine	1	0	1	0	0	0	0	0	
Lair of the Ninja Snowmen	11	0	0	0	0	0	0	0	
Mist-Shrouded Peak	4	0	0	0	0	0	0	0	
Near an Abandoned Refrigerator	2	0	0	0	0	0	0	0	
Next to that Barrel with Something Burning in it	38	0	0	0	0	0	0	0	
Oil Peak	9	0	1	0	0	0	0	0	
Out by that Rusted-Out Car	2	0	0	0	0	0	0	0	
Over Where the Old Tires Are	3	0	0	0	0	0	0	0	
Smartest Adventurer Contest	1	0	0	0	0	0	0	0	
Smith 1 lump of Brituminous coal + 1 loose purse strings	1	0	1	0	0	0	0	0	
Smith 1 lump of Brituminous coal + 1 stolen accordion	1	0	1	0	0	0	0	0	
Sonofa Beach	19	0	14	0	0	0	1	0	
Spookiest Adventurer Contest	1	0	0	0	0	0	0	0	
Summoning Chamber	1	0	0	0	0	0	0	0	
The Arid, Extra-Dry Desert	21	3	0	0	3	0	0	0	
The Battlefield (Frat Uniform)	45	0	1	0	0	0	0	0	
The Beanbat Chamber	4	0	0	0	0	0	0	0	
The Black Forest	18	0	5	0	0	0	0	0	
The Boss Bat's Lair	4	2	0	0	0	0	0	0	
The Castle in the Clouds in the Sky (Basement)	2	0	2	0	0	0	0	0	
The Castle in the Clouds in the Sky (Ground Floor)	12	2	3	2	0	0	0	2	
The Castle in the Clouds in the Sky (Top Floor)	3	0	3	0	0	0	0	0	
The Copperhead Club	14	1	4	0	0	0	0	0	
The Daily Dungeon	3	0	1	0	0	0	0	0	
The Dark Elbow of the Woods	12	0	4	0	0	0	0	0	
The Dark Heart of the Woods	11	3	4	0	3	0	0	0	
The Dark Neck of the Woods	18	0	4	0	0	0	0	0	
The Deep Machine Tunnels	1	10	1	0	0	0	0	0	
The Defiled Alcove	8	0	0	0	0	0	0	0	
The Defiled Cranny	4	0	0	0	0	0	0	0	
The Defiled Niche	10	5	0	2	0	0	0	2	
The Defiled Nook	9	1	0	1	0	0	0	1	
The Feeding Chamber	3	0	0	0	0	0	0	0	
The Filthworm Queen's Chamber	1	0	0	0	0	0	0	0	
The Goatlet	3	4	0	4	0	0	0	4	
The Hatching Chamber	1	0	0	0	0	0	0	0	
The Haunted Ballroom	5	3	2	0	0	0	0	0	
The Haunted Bathroom	4	2	0	0	0	0	0	0	
The Haunted Bedroom	4	3	0	2	0	0	0	2	
The Haunted Billiards Room	2	0	2	0	0	0	0	0	
The Haunted Boiler Room	3	0	0	0	0	0	0	0	
The Haunted Conservatory	0	1	0	0	0	0	0	0	
The Haunted Gallery	6	1	1	0	0	0	0	0	
The Haunted Kitchen	6	2	0	0	0	0	0	0	
The Haunted Laundry Room	4	2	0	2	0	0	0	2	
The Haunted Library	6	0	0	0	0	0	0	0	
The Haunted Pantry	1	5	1	0	0	0	0	0	
The Haunted Wine Cellar	2	0	0	0	0	0	0	0	
The Hedge Maze	4	0	4	0	0	0	0	0	
The Hidden Apartment Building	8	1	0	1	0	0	0	1	
The Hidden Bowling Alley	17	1	4	1	0	0	0	1	
The Hidden Hospital	15	0	0	0	0	0	0	0	
The Hidden Office Building	5	5	1	1	0	0	0	1	
The Hidden Park	5	2	2	0	0	0	0	0	
The Hidden Temple	4	0	4	0	0	0	0	0	
The Hole in the Sky	9	1	0	0	0	0	0	0	
The Icy Peak	0	1	0	0	0	0	0	0	
The Laugh Floor	12	0	0	0	0	0	0	0	
The Limerick Dungeon	1	0	1	0	0	0	0	0	
The Lower Chambers	10	0	3	0	0	0	0	0	
The Middle Chamber	6	6	2	2	2	0	0	2	
The Naughty Sorceress' Chamber	1	2	0	0	0	0	0	0	
The Naughty Sorceress' Tower	5	0	0	0	0	0	0	0	
The Neverending Party	8	19	1	0	0	0	0	0	
The Outskirts of Cobb's Knob	11	0	2	0	0	0	0	0	
The Overgrown Lot	0	2	0	0	0	0	0	0	
The Penultimate Fantasy Airship	29	3	6	0	0	0	0	0	
The Red Zeppelin	6	3	0	0	3	0	0	0	
The Royal Guard Chamber	1	0	0	0	0	0	0	0	
The Shore, Inc. Travel Agency	5	0	5	0	0	0	0	0	
The Skeleton Store	0	1	0	0	0	0	0	0	
The Sleazy Back Alley	11	1	1	0	0	0	0	0	
The Smut Orc Logging Camp	37	0	0	0	0	0	0	0	
The Spooky Forest	10	5	5	0	0	0	0	0	
The Tavern Cellar	7	0	2	0	0	0	0	0	
The Themthar Hills	10	1	0	0	1	0	0	0	
The Tunnel of L.O.V.E.	0	9	0	0	0	0	0	0	
The Unquiet Garves	6	0	0	0	0	0	0	0	
The Upper Chamber	5	1	4	0	0	0	0	0	
The X-32-F Combat Training Snowman	1	20	0	0	0	0	0	0	
Throne Room	1	0	0	0	0	0	0	0	
Twin Peak	8	0	3	0	0	0	0	0	
Wartime Frat House	14	2	2	0	0	0	0	0	
Wartime Hippy Camp	7	0	4	0	0	0	0	0	
Whitey's Grove	4	0	2	0	0	0	0	0	
Your Witchess Set	0	15	0	0	0	0	0	0	
genie summoned monster	1	0	0	0	0	0	0	0	
lynyrd snare	0	2	0	0	0	0	0	0	
rusty hedge trimmers	1	0	1	0	0	0	0	0	

====================
FAMILIAR	TURNS	ACTIONS	ACTIONTYPE
Reassembled Blackbird	6	0		
Baby Sandworm	38	0		
Rogue Program	1	0		
Bloovian Groose	18	0		
Steam-Powered Cheerleader	196	0		
Artistic Goth Kid	34	0		
Reagnimated Gnome	17	0		
Gelatinous Cubeling	12	0		
Nosy Nose	45	0		
Reanimated Reanimator	1	0		
Warbear Drone	1	0		
Ms. Puck Man	42	0		
Machine Elf	12	0		
Intergnat	86	0		
Space Jellyfish	37	0		
Cute Meteor	11	0		
XO Skeleton	2	0		
Garbage Fire	5	0		
God Lobster	6	0		
Cat Burglar	92	3	heists	
Elf Operative	19	0		
Left-Hand Man	34	0		
Melodramedary	24	0	spits	

====================
PILLTYPE	DAY	TURN
Wednesday - Sneakisol	1	111	
Wednesday - Sneakisol	1	112	
Wednesday - Sneakisol	1	167	
Wednesday - Sneakisol	1	171	
Wednesday - Sneakisol	2	264	
Wednesday - Sneakisol	2	297	
Wednesday - Sneakisol	2	300	
Wednesday - Sneakisol	2	364	
Sunday - Surprise Me	3	707	

====================
PULL	DAY	TURN	NUMBER
 cursed pony keg	1	1	1	
 brick	1	1	2	
 brick	1	1	3	
 brick	1	1	4	
 brick	1	1	5	
 brick	1	1	6	
 brick	1	1	7	
 brick	1	1	8	
 brick	1	1	9	
 brick	1	1	10	
 brick	1	1	11	
 brick	1	1	12	
 brick	1	1	13	
 brick	1	1	14	
 brick	1	1	15	
 brick	1	1	16	
 brick	1	1	17	
 brick	1	1	18	
 brick	1	1	19	
 brick	1	1	20	
 brick	1	1	21	
 brick	1	1	22	
 brick	1	1	23	
 brick	1	1	24	
 brick	1	1	25	
 brick	1	1	26	
 brick	1	1	27	
 brick	1	1	28	
 brick	1	1	29	
 brick	1	1	30	
 brick	1	1	31	
 brick	1	1	32	
 brick	1	1	33	
 brick	1	1	34	
 brick	1	1	35	
 brick	1	1	36	
 brick	1	1	37	
 brick	1	1	38	
 brick	1	1	39	
 brick	1	1	40	
 brick	1	1	41	
 brick	1	1	42	
 brick	1	1	43	
 brick	1	1	44	
 brick	1	1	45	
 brick	1	1	46	
 brick	1	1	47	
 brick	1	1	48	
 brick	1	1	49	
 brick	1	1	50	
 brick	1	1	51	
 brick	1	1	52	
 brick	1	1	53	
 brick	1	1	54	
 brick	1	1	55	
 brick	1	1	56	
 brick	1	1	57	
 brick	1	1	58	
 brick	1	1	59	
 brick	1	1	60	
 brick	1	1	61	
 brick	1	1	62	
 brick	1	1	63	
 brick	1	1	64	
 brick	1	1	65	
 brick	1	1	66	
 brick	1	1	67	
 brick	1	1	68	
 brick	1	1	69	
 brick	1	1	70	
 brick	1	1	71	
 brick	1	1	72	
 brick	1	1	73	
 brick	1	1	74	
 brick	1	1	75	
 brick	1	1	76	
 brick	1	1	77	
 brick	1	1	78	
 brick	1	1	79	
 brick	1	1	80	
 brick	1	1	81	
 brick	1	1	82	
 brick	1	1	83	
 brick	1	1	84	
 brick	1	1	85	
 brick	1	1	86	
 brick	1	1	87	
 brick	1	1	88	
 brick	1	1	89	
 brick	1	1	90	
 brick	1	1	91	
 brick	1	1	92	
 brick	1	1	93	
 brick	1	1	94	
 brick	1	1	95	
 brick	1	1	96	
 brick	1	1	97	
 brick	1	1	98	
 brick	1	1	99	
 brick	1	1	100	
 brick	1	1	101	
 brick	1	1	102	
 brick	1	1	103	
 brick	1	1	104	
 brick	1	1	105	
 brick	1	1	106	
 brick	1	1	107	
 brick	1	1	108	
 brick	1	1	109	
 brick	1	1	110	
 brick	1	1	111	
 brick	1	1	112	
 brick	1	1	113	

====================
