day	turnSpent	free?	location	encounterName	familiar	items	meat	rounds	mus	mys	mox	advsGained	effectsGained	itemsUsed	skillsUsed	freeRun?	banish	freeKill	sniff	spit	copy	macroFrom	
1	1	true	Boxing Daycare	Have a Boxing Daydream	Ms. Puck Man	 | body spradium	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	1952 Mickey Mantle	Ms. Puck Man	 | 1952 Mickey Mantle card	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	XVI - The Tower	Ms. Puck Man	 | Jarlsberg's key	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	VI - The Lovers	Ms. Puck Man		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	God Lobster	the God Lobster	God Lobster		0	3	5	7	11	0				0	0	0	0	0	0		
1	1	true	God Lobster	Granted a Boon	God Lobster		0	-1	0	0	0	0	 | Wisdom of the God Lobster (33)			0	0	0	0	0	0		
1	1	true	Smith 1 meat stack + 1 skirt / kilt kit	N/A	God Lobster	 | basic meat kilt	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Boxing Daycare	Visit the Boxing Day Spa	God Lobster		0	-1	0	0	0	0	 | Ten out of Ten (100)			0	0	0	0	0	0		
1	1	true	Your Witchess Set	Witchess Rook	Pocket Professor	 | Greek fire	0	4	52	32	113	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	Your Witchess Set	N/A	Pocket Professor		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	Is This Thing On?  (No.)	Pocket Professor		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Pocket Professor		0	4	34	20	69	0			 | MICROMETEORITE | FESTOON BUFFOON	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	The Tunnel of L.O.V.E.	Pocket Professor		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Enforcer	Pocket Professor		0	7	52	60	135	0			 | FESTOON BUFFOON | MICROMETEORITE | SUMMON LOVE GNATS	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Equipment Room	Pocket Professor		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Engineer	Pocket Professor	 | LOV Earrings	0	7	52	79	119	0			 | FESTOON BUFFOON | MICROMETEORITE | SUMMON LOVE GNATS	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emergency Room	Pocket Professor		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Equivocator	Pocket Professor		0	5	48	52	186	0	 | Lovebotamy (50) | Dances with Tweedles (5)		 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emporium	Pocket Professor	 | LOV Extraterrestrial Chocolate	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Ms. Puck Man	 | yellow pixel	0	4	40	30	111	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Ms. Puck Man	 | yellow pixel	0	5	14	34	141	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Ms. Puck Man	 | metal meteoroid | yellow pixel	0	5	30	42	131	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Ms. Puck Man	 | yellow pixel	0	5	42	42	114	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Ms. Puck Man	 | mineapple | yellow pixel	0	5	44	24	138	0	 | Sweet and Yellow (5)		 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Ms. Puck Man	 | iced plum wine | yellow pixel	0	5	51	46	111	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Ms. Puck Man	 | yellow pixel	0	5	43	44	141	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Ms. Puck Man	 | yellow pixel	0	5	44	52	125	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Ms. Puck Man	 | yellow pixel	0	5	46	33	154	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	God Lobster	the God Lobster	God Lobster	 | metal meteoroid	0	4	84	96	219	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	God Lobster	Granted a Boon	God Lobster	 | God Lobster's Scepter	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	false	God Lobster	the God Lobster	God Lobster		0	1	0	0	0	0				0	0	0	0	0	0		
1	2	true	The Neverending Party	N/A	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	TRUE	CONSUME: chew 1 agua de vida	N/A	Baby Sandworm	 | empty agua de vida bottle	0	-1	0	0	0	8				0	0	0	0	0	0		
1	2	true	The Neverending Party	burnout	Baby Sandworm	 | jam band bootleg | agua de vida	124	4	94	74	244	0	 | Always In Motion (5)		 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	2	TRUE	CONSUME: chew 1 agua de vida	N/A	Baby Sandworm	 | empty agua de vida bottle	0	-1	0	0	0	8				0	0	0	0	0	0		
1	2	true	The Neverending Party	&quot;plain&quot; girl	Baby Sandworm	 | PB&J with the crusts cut off | agua de vida	234	4	78	77	276	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	2	true	The Neverending Party	party girl	Baby Sandworm	 | runproof mascara | very small red dress | noticeable pumps	231	4	87	102	292	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	2	TRUE	CONSUME: chew 1 agua de vida	N/A	Baby Sandworm	 | empty agua de vida bottle	0	-1	0	0	0	8				0	0	0	0	0	0		
1	2	true	The Neverending Party	jock	Baby Sandworm	 | unremarkable duffel bag | Purple Beast energy drink | agua de vida	416	4	76	90	285	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	2	true	The Neverending Party	jock	Baby Sandworm	 | Purple Beast energy drink | shoe ad T-shirt	460	4	102	92	315	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	2	true	The Neverending Party	jock	Baby Sandworm	 | metal meteoroid | unremarkable duffel bag | cosmetic football	429	4	110	90	319	0	 | Extra Backbone (5)		 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	2	true	The Neverending Party	biker	Baby Sandworm	 | gas can | Middle of the Road&trade; brand whiskey	252	4	108	109	324	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	2	true	The Neverending Party	Basement Urges	Baby Sandworm		0	-1	0	0	0	0	 | The Best Hair You've Ever Had (20)			0	0	0	0	0	0		
1	2	true	The Neverending Party	&quot;plain&quot; girl	Baby Sandworm	 | electronics kit | PB&J with the crusts cut off	257	5	112	104	371	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	2	true	The Neverending Party	party girl	Baby Sandworm	 | runproof mascara | surprisingly capacious handbag	273	4	134	105	351	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	2	true	The Spooky Forest	terrible mutant	Baby Sandworm	 | glob of undifferentiated tissue	28	4	118	102	401	0			 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
1	2	true	The Spooky Forest	sausage goblin	Baby Sandworm	 | red-hot sausage fork | magical sausage casing	192	4	110	134	357	0	 | Mer-kindliness (5)		 | FESTOON BUFFOON | MICROMETEORITE	0	0	0	0	0	0		
