LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
8-Bit Realm	1	0	0	0	0	0	0	0	
A Massive Ziggurat	1	3	0	0	0	0	0	0	
A Mob of Zeppelin Protesters	4	0	4	0	0	0	0	0	
A-Boo Peak	15	1	4	0	0	0	0	0	
An Overgrown Shrine (Northeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Northwest)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southwest)	1	3	1	0	0	0	0	0	
Chateau Painting	1	0	0	0	0	0	0	0	
Cobb's Knob Harem	2	0	1	0	0	0	0	0	
Cobb's Knob Treasury	0	1	0	0	0	0	0	0	
Dr. Awkward's Office	1	0	0	0	0	0	0	0	
Dr. Gordon Stuart's Science Tent	0	2	0	0	0	0	0	0	
Evoke Eldritch Horror	0	2	0	0	0	0	0	0	
Fastest Adventurer Contest	1	0	0	0	0	0	0	0	
Frat House	1	0	0	0	0	0	0	0	
God Lobster	1	2	0	0	0	0	0	0	
Haert of the Cyrpt	1	0	0	0	0	0	0	0	
Hippy Camp	1	0	0	0	0	0	0	0	
Infernal Rackets Backstage	11	0	5	0	0	0	0	0	
Inside the Palindome	7	3	3	3	0	0	0	2	
Lair of the Ninja Snowmen	10	0	0	0	0	0	0	0	
Mist-Shrouded Peak	4	0	0	0	0	0	0	0	
Oil Peak	7	0	1	0	0	0	0	0	
Smartest Adventurer Contest	1	0	0	0	0	0	0	0	
Stinkiest Adventurer Contest	1	0	0	0	0	0	0	0	
Summoning Chamber	1	0	0	0	0	0	0	0	
The Arid, Extra-Dry Desert	11	9	0	0	9	0	0	0	
The Battlefield (Hippy Uniform)	2	0	1	0	0	0	0	0	
The Beanbat Chamber	0	1	0	0	0	0	0	0	
The Black Forest	16	2	4	0	0	0	0	0	
The Boss Bat's Lair	7	0	0	0	0	0	0	0	
The Castle in the Clouds in the Sky (Basement)	2	0	1	0	0	0	0	0	
The Castle in the Clouds in the Sky (Ground Floor)	9	2	1	0	0	0	0	0	
The Castle in the Clouds in the Sky (Top Floor)	5	0	3	0	0	0	0	0	
The Copperhead Club	13	3	4	0	0	0	0	0	
The Dark Elbow of the Woods	10	0	4	0	0	0	0	0	
The Dark Heart of the Woods	8	0	4	0	0	0	0	0	
The Dark Neck of the Woods	12	0	5	0	0	0	0	0	
The Deep Machine Tunnels	0	5	0	0	0	0	0	0	
The Defiled Alcove	7	0	0	0	0	0	0	0	
The Defiled Cranny	7	0	0	0	0	0	0	0	
The Defiled Niche	8	3	0	3	0	0	0	3	
The Defiled Nook	8	0	0	0	0	0	0	0	
The Goatlet	3	1	0	1	0	0	0	1	
The Haunted Ballroom	7	0	3	0	0	0	0	0	
The Haunted Bathroom	3	4	0	0	0	0	0	0	
The Haunted Bedroom	4	3	0	3	0	0	0	3	
The Haunted Billiards Room	4	0	2	0	0	0	0	0	
The Haunted Boiler Room	4	0	0	0	0	0	0	0	
The Haunted Gallery	5	4	1	0	0	0	0	0	
The Haunted Kitchen	7	1	0	0	0	0	0	0	
The Haunted Laundry Room	7	0	0	0	0	0	0	0	
The Haunted Library	8	1	1	1	0	0	0	1	
The Haunted Pantry	0	5	0	0	0	0	0	0	
The Haunted Wine Cellar	3	1	0	1	0	0	0	0	
The Hedge Maze	4	0	4	0	0	0	0	0	
The Hidden Apartment Building	7	2	0	1	0	0	0	1	
The Hidden Bowling Alley	7	1	4	0	0	1	0	0	
The Hidden Hospital	4	2	0	2	0	0	0	2	
The Hidden Office Building	6	5	1	2	1	0	0	3	
The Hidden Park	6	3	2	0	0	0	0	0	
The Hidden Temple	4	0	4	0	0	0	0	0	
The Hole in the Sky	11	0	0	0	0	0	0	0	
The Laugh Floor	6	4	0	0	4	0	0	0	
The Lower Chambers	10	0	3	0	0	0	0	0	
The Middle Chamber	10	2	2	2	0	0	0	2	
The Naughty Sorceress' Chamber	1	2	0	0	0	0	0	0	
The Naughty Sorceress' Tower	5	0	0	0	0	0	0	0	
The Neverending Party	0	15	0	0	0	0	0	0	
The Outskirts of Cobb's Knob	1	10	1	0	0	0	8	1	
The Penultimate Fantasy Airship	17	15	6	0	0	0	9	0	
The Prince's Balcony	1	0	1	0	0	0	0	0	
The Prince's Dance Floor	1	0	1	0	0	0	0	0	
The Prince's Kitchen	1	0	1	0	0	0	0	0	
The Prince's Lounge	1	0	1	0	0	0	0	0	
The Prince's Restroom	1	0	1	0	0	0	0	0	
The Red Zeppelin	4	5	0	1	4	0	0	1	
The Shore, Inc. Travel Agency	1	0	1	0	0	0	0	0	
The Sleazy Back Alley	6	0	1	0	0	0	0	0	
The Smut Orc Logging Camp	7	0	2	0	0	0	0	0	
The Spooky Forest	6	12	5	0	0	0	0	6	
The Tavern Cellar	8	0	2	0	0	0	0	0	
The Tunnel of L.O.V.E.	0	9	0	0	0	0	0	0	
The Unquiet Garves	2	2	0	0	0	0	1	0	
The Upper Chamber	4	2	4	0	0	0	0	0	
The X-32-F Combat Training Snowman	0	10	0	0	0	0	0	0	
Throne Room	1	0	0	0	0	0	0	0	
Twin Peak	6	0	2	0	0	0	0	0	
Wartime Frat House	2	0	1	0	0	0	0	0	
Wartime Frat House (Hippy Disguise)	14	0	1	0	0	0	0	0	
Your Witchess Set	0	6	0	0	0	0	0	0	
genie summoned monster	0	1	0	0	0	0	0	0	
rusty hedge trimmers	1	0	1	0	0	0	0	0	

====================
FAMILIAR	TURNS	ACTIONS	ACTIONTYPE
none	1	0		
Reassembled Blackbird	9	0		
Baby Sandworm	31	0		
Rogue Program	2	0		
Pair of Stomping Boots	27	7	runs	
Bloovian Groose	2	0		
Steam-Powered Cheerleader	43	0		
Artistic Goth Kid	41	0		
Gelatinous Cubeling	12	0		
Warbear Drone	1	0		
Ms. Puck Man	61	0		
Machine Elf	8	0		
Robortender	2	0		
Cute Meteor	8	0		
XO Skeleton	91	0		
Garbage Fire	6	0		
Mu	7	0		
God Lobster	3	0		
Cat Burglar	32	0	heists	
Pocket Professor	37	16	lectures	
Left-Hand Man	1	0		
Melodramedary	68	1	spits	

====================
PILLTYPE	DAY	TURN
Wednesday - Sneakisol	2	70	
Wednesday - Sneakisol	2	91	

====================
SABERTYPE	DAY	TURN	SABERMONSTER
SABER YELLOW RAY	2	16	Orcish Frat Boy Spy	
SABER YELLOW RAY	2	16	War Hippy drill sergeant	
SABER YELLOW RAY	2	156	pygmy janitor	
SABER YELLOW RAY	2	169	Quiet Healer	
SABER BANISH	3	381	Flock of Stab-bats	
