day	turnSpent	free?	location	encounterName	familiar	items	meat	rounds	mus	mys	mox	advsGained	effectsGained	itemsUsed	skillsUsed	freeRun?	banish	freeKill	sniff	spit	copy	macroFrom	
1	1	true	Boxing Daycare	Have a Boxing Daydream	none	 | glass of raw eggs	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Boxing Daycare	Enter the Boxing Daycare	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	The Tunnel of L.O.V.E.	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Enforcer	none	 | yellow pixel	0	5	17	33	17	0	 | Cartographically Charged (10)	|Time-Spinner	 | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Equipment Room	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Engineer	none	 | LOV Epaulettes | yellow pixel	0	5	12	34	14	0			 | MICROMETEORITE | PLY REALITY	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emergency Room	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Equivocator	none	 | yellow pixel	0	5	10	44	20	0	 | Lovebotamy (50)		 | PLY REALITY | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emporium	none	 | LOV Enamorang	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Your Witchess Set	Witchess Rook	none	 | Daffy Taffy | meadeorite | Greek fire | yellow pixel	0	5	24	48	10	0			 | MICROMETEORITE | PLY REALITY | CANDYBLAST	0	0	0	0	0	0		
1	1	true	Your Witchess Set	N/A	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	God Lobster	the God Lobster	God Lobster	 | Wint-O-Fresh mint	0	5	24	45	28	0			 | MICROMETEORITE | PLY REALITY | CANDYBLAST	0	0	0	0	0	0		
1	1	true	God Lobster	Granted a Boon	God Lobster	 | God Lobster's Scepter	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	God Lobster	the God Lobster	God Lobster	 | Wint-O-Fresh mint	0	5	15	56	34	0			 | MICROMETEORITE | PLY REALITY | CANDYBLAST	0	0	0	0	0	0		
1	1	true	God Lobster	Granted a Boon	God Lobster		0	-1	0	0	0	0	 | Intuition of the God Lobster (33)			0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | agua de vida	0	5	23	45	17	0	 | Spring Training (5)		 | MICROMETEORITE | CANDYBLAST | PLY REALITY	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | Meteorite-Ade | agua de vida	0	5	24	42	20	0			 | MICROMETEORITE | PLY REALITY | CANDYBLAST	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm		0	5	18	64	15	0			 | MICROMETEORITE | PLY REALITY	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | Cobb's Knob map	0	6	38	112	48	0			 | MICROMETEORITE | PLY REALITY | CANDYBLAST | CANDYBLAST	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm		0	5	38	122	48	0			 | MICROMETEORITE | PLY REALITY | STUFFED MORTAR SHELL	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm		0	5	50	140	40	0	 | 20-20 Second Sight (5) | meat.enh (100)		 | MICROMETEORITE | PLY REALITY | STUFFED MORTAR SHELL	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | iced plum wine | agua de vida	0	5	23	166	40	0			 | MICROMETEORITE | PLY REALITY | STUFFED MORTAR SHELL | CANDYBLAST	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | Source essence | meteoreo	0	5	45	132	60	0			 | MICROMETEORITE | PLY REALITY | STUFFED MORTAR SHELL | EXTRACT	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | Source essence	0	5	48	148	51	0			 | MICROMETEORITE | PLY REALITY | STUFFED MORTAR SHELL | EXTRACT	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | Source essence | Evilometer	0	6	68	119	60	0			 | MICROMETEORITE | PLY REALITY | STUFFED MORTAR SHELL | EXTRACT | CANDYBLAST	0	0	0	0	0	0		
1	1	true	Boxing Daycare	Visit the Boxing Day Spa	Baby Sandworm		0	-1	0	0	0	0	 | Uncucumbered (100)			0	0	0	0	0	0		
1	1	true	Combing the Beach	N/A	Baby Sandworm		0	-1	0	0	0	0	 | You Learned Something Maybe! (50)			0	0	0	0	0	0		
1	1	true	The Neverending Party	N/A	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Neverending Party	jock	Baby Sandworm	 | unremarkable duffel bag | Purple Beast energy drink	367	3	128	398	120	0	 | Patched In (5)		 | STUFFED MORTAR SHELL | PLY REALITY	0	0	0	0	0	0		
1	1	true	Deck of Every Card	N/A	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
