day	turnSpent	free?	location	encounterName	familiar	items	meat	rounds	mus	mys	mox	advsGained	effectsGained	itemsUsed	skillsUsed	freeRun?	banish	freeKill	sniff	spit	copy	macroFrom	
1	1	true	Boxing Daycare	Have a Boxing Daydream	none	 | glass of raw eggs	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Boxing Daycare	Enter the Boxing Daycare	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	1952 Mickey Mantle	none	 | 1952 Mickey Mantle card	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Pump Up Moxie	N/A	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Combing the Beach	N/A	none		0	-1	0	0	0	0	 | You Learned Something Maybe! (50)			0	0	0	0	0	0		
1	1	true	Boxing Daycare	Visit the Boxing Day Spa	none		0	-1	0	0	0	0	 | Uncucumbered (100) | substats.enh (100)			0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	The Tunnel of L.O.V.E.	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Enforcer	none		12	7	18	40	24	0			 | BARRAGE OF TEARS | DETECT WEAKNESS | SUMMON LOVE MOSQUITO | SUMMON LOVE STINKBUG | SUMMON LOVE GNATS | CURDLE	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Equipment Room	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Engineer	none	 | LOV Epaulettes	0	8	0	0	0	0			 | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | SUMMON LOVE MOSQUITO | DETECT WEAKNESS | BARRAGE OF TEARS | CURDLE	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emergency Room	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Equivocator	none		0	2	0	0	0	0	 | Lovebotamy (50)		 | BOIL	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emporium	none	 | LOV Enamorang	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	I - The Magician	none		0	-1	0	0	0	0	 | Magicianship (20)			0	0	0	0	0	0		
1	1	true	Deck of Every Card	XVI - The Tower	none	 | Sneaky Pete's key	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Your Witchess Set	N/A	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Your Witchess Set	N/A	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	Is This Thing On?  (No.)	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	none		10	2	13	100	28	0			 | BOIL	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	none		15	2	28	103	20	0			 | BOIL	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	none		13	3	23	116	18	0			 | BOIL | CURDLE	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	none		12	3	25	106	30	0			 | BAKE | BOIL	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	none		13	3	20	135	20	0			 | BOIL | BOIL	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	none		14	2	33	119	25	0			 | GRILL	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	none	 | ancient medicinal herbs	13	2	33	132	25	0			 | GRILL	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	none		14	2	29	148	30	0			 | GRILL	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	none		10	2	18	167	23	0			 | GRILL	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	none		11	2	40	135	38	0			 | GRILL	0	0	0	0	0	0		
1	1	true	The Neverending Party	N/A	none		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Neverending Party	&quot;plain&quot; girl	none	 | electronics kit | PB&J with the crusts cut off | ponytail clip	159	3	63	288	93	0			 | BOIL | BOIL	0	0	0	0	0	0		
1	1	true	The Neverending Party	party girl	none	 | very small red dress	165	3	78	285	113	0			 | BOIL | BOIL	0	0	0	0	0	0		
1	1	true	The Neverending Party	burnout	none	 | van key | jam band bootleg	83	3	123	285	75	0			 | BOIL | BOIL	0	0	0	0	0	0		
1	1	true	The Neverending Party	jock	none		230	2	100	276	123	0			 | BOIL	0	0	0	0	0	0		
1	1	true	Combing the Beach	N/A	none		0	-1	0	0	0	0	 | We're All Made of Starfish (50)			0	0	0	0	0	0		
1	1	true	The Neverending Party	biker	none	 | gas can | Middle of the Road&trade; brand whiskey	171	3	108	335	118	0			 | CURDLE | CURDLE	0	0	0	0	0	0		
1	1	true	The Neverending Party	burnout	none	 | van key	100	2	108	330	115	0			 | GRILL	0	0	0	0	0	0		
1	1	true	Combing the Beach	N/A	none		0	-1	0	0	0	0	 | A Brush with Grossness (50)			0	0	0	0	0	0		
1	1	true	Combing the Beach	N/A	none		0	-1	0	0	0	0	 | Hot-Headed (50)			0	0	0	0	0	0		
1	1	true	The Haunted Kitchen	The Icewoman	none	 | psychokinetic energy blob (3)	12	2	25	96	15	0			 | BOIL	0	0	0	0	0	0		
