day	turnSpent	free?	location	encounterName	familiar	items	meat	rounds	mus	mys	mox	advsGained	effectsGained	itemsUsed	skillsUsed	freeRun?	banish	freeKill	sniff	spit	copy	macroFrom	
1	1	true	Rest in your bed in the Chateau	N/A	Ms. Puck Man		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	1952 Mickey Mantle	Ms. Puck Man	 | 1952 Mickey Mantle card	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	VI - The Lovers	Ms. Puck Man	 | Cobb's Knob map	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	The Tunnel of L.O.V.E.	Ms. Puck Man		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Enforcer	Ms. Puck Man	 | yellow pixel	0	3	7	10	14	0			 | STUFFED MORTAR SHELL	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Equipment Room	Ms. Puck Man		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Engineer	Ms. Puck Man	 | LOV Earrings | almost-dead walkie-talkie | yellow pixel	0	6	8	8	14	0			 | STUFFED MORTAR SHELL | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emergency Room	Ms. Puck Man		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Equivocator	Ms. Puck Man	 | bag of GORP | yellow pixel	0	3	13	12	19	0	 | Lovebotamy (50)		 | STUFFED MORTAR SHELL | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emporium	Ms. Puck Man	 | LOV Enamorang	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Neverending Party	N/A	Artistic Goth Kid		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Hallowed Halls	N/A	Artistic Goth Kid		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Hallowed Halls	sausage goblin	Artistic Goth Kid	 | magical sausage casing	154	3	6	8	36	0			 | STUFFED MORTAR SHELL	0	0	0	0	0	0		
1	1	true	Rest in your bed in the Chateau	N/A	Artistic Goth Kid		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Hallowed Halls	Black Crayon Goblin	Artistic Goth Kid	 | crayon shavings	0	5	15	23	36	0			 | STUFFED MORTAR SHELL | MICROMETEORITE | SAUCESTORM	0	0	0	0	0	0		
1	1	false	The Hallowed Halls	motorhead	Artistic Goth Kid		0	2	0	0	0	0			 | STUFFED MORTAR SHELL	0	0	0	0	0	0		
1	2	true	Rest in your bed in the Chateau	N/A	Artistic Goth Kid		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	false	The Hallowed Halls	wastoid	Artistic Goth Kid		48	4	21	13	40	0			 | STUFFED MORTAR SHELL | SAUCESTORM	0	0	0	0	0	0		
1	3	true	The Hallowed Halls	angry ghost	Artistic Goth Kid	 | psychokinetic energy blob | ghostly ectoplasm	0	2	13	13	45	0			 | SAUCESTORM	0	0	0	0	0	0		
1	3	false	The Hallowed Halls	motorhead	Artistic Goth Kid		0	1	0	0	0	0				0	0	0	0	0	0		
1	4	true	Rest in your bed in the Chateau	N/A	Artistic Goth Kid		0	-1	0	0	0	0				0	0	0	0	0	0		
1	4	false	The Hallowed Halls	dweebie	Artistic Goth Kid		0	1	0	0	0	0				0	0	0	0	0	0		
1	5	true	Rest in your bed in the Chateau	N/A	Artistic Goth Kid		0	-1	0	0	0	0				0	0	0	0	0	0		
1	5	false	The Hallowed Halls	wastoid	Artistic Goth Kid		69	3	16	17	41	0			 | STUFFED MORTAR SHELL | SAUCESTORM	0	0	0	0	0	0		
