LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
A Massive Ziggurat	1	3	0	0	0	0	0	0	
A Mob of Zeppelin Protesters	8	0	5	0	0	0	0	0	
A-Boo Peak	9	0	5	0	0	0	0	0	
An Overgrown Shrine (Northeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Northwest)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southwest)	1	3	1	0	0	0	0	0	
Art Class	20	5	1	0	0	0	0	0	
Chateau Painting	1	0	0	0	0	0	0	0	
Chemistry Class	17	9	1	1	0	0	0	0	
Cobb's Knob Harem	6	0	0	0	0	0	0	0	
Coldest Adventurer Contest	1	0	0	0	0	0	0	0	
Dr. Awkward's Office	1	0	0	0	0	0	0	0	
Fastest Adventurer Contest	1	0	0	0	0	0	0	0	
God Lobster	0	3	0	0	0	0	0	0	
Guano Junction	1	0	1	0	0	0	0	0	
Haert of the Cyrpt	1	0	0	0	0	0	0	0	
Hippy Camp	2	1	0	0	0	0	0	1	
Inside the Palindome	9	2	3	2	0	0	0	2	
Mist-Shrouded Peak	4	0	0	0	0	0	0	0	
Near an Abandoned Refrigerator	1	0	0	0	0	0	0	0	
Next to that Barrel with Something Burning in it	1	0	0	0	0	0	0	0	
Oil Peak	6	0	1	0	0	0	0	0	
Out by that Rusted-Out Car	2	2	0	1	0	0	0	1	
Over Where the Old Tires Are	1	0	0	0	0	0	0	0	
Shop Class	23	5	1	0	0	0	0	0	
Sonofa Beach	4	0	0	0	0	0	0	0	
Strongest Adventurer Contest	1	0	0	0	0	0	0	0	
Summoning Chamber	1	0	0	0	0	0	0	0	
The Arid, Extra-Dry Desert	15	6	0	0	6	0	0	0	
The Battlefield (Frat Uniform)	43	2	1	0	2	0	0	0	
The Black Forest	18	0	5	0	0	0	0	0	
The Boss Bat's Lair	3	3	0	0	2	0	0	0	
The Castle in the Clouds in the Sky (Basement)	2	0	2	0	0	0	0	0	
The Castle in the Clouds in the Sky (Ground Floor)	2	9	2	0	5	0	0	3	
The Castle in the Clouds in the Sky (Top Floor)	2	0	2	0	0	0	0	0	
The Copperhead Club	10	5	4	0	1	0	0	2	
The Dark Elbow of the Woods	11	1	4	0	0	0	0	0	
The Dark Heart of the Woods	5	0	4	0	0	0	0	0	
The Dark Neck of the Woods	12	0	4	0	0	0	0	0	
The Deep Machine Tunnels	0	1	0	0	0	0	0	0	
The Defiled Alcove	1	0	0	0	0	0	0	0	
The Defiled Cranny	4	0	0	0	0	0	0	0	
The Defiled Niche	5	6	0	2	4	0	0	1	
The Defiled Nook	6	0	0	0	0	0	0	0	
The Feeding Chamber	1	0	0	0	0	0	0	0	
The Filthworm Queen's Chamber	1	0	0	0	0	0	0	0	
The Goatlet	3	1	0	1	0	0	0	1	
The Hallowed Halls	17	18	0	0	0	0	0	0	
The Hatching Chamber	1	0	0	0	0	0	0	0	
The Haunted Ballroom	2	4	2	0	0	0	0	0	
The Haunted Bathroom	8	0	0	0	0	0	0	0	
The Haunted Bedroom	3	4	0	4	0	0	0	4	
The Haunted Billiards Room	4	1	2	0	0	0	0	0	
The Haunted Boiler Room	1	2	0	2	0	0	0	2	
The Haunted Gallery	8	2	1	0	1	0	0	0	
The Haunted Kitchen	6	1	0	0	0	0	0	0	
The Haunted Laundry Room	3	1	0	1	0	0	0	1	
The Haunted Library	6	2	0	1	0	0	0	1	
The Haunted Wine Cellar	2	2	0	1	0	0	0	1	
The Hedge Maze	4	0	4	0	0	0	0	0	
The Hidden Apartment Building	8	1	0	0	0	0	0	0	
The Hidden Bowling Alley	11	0	4	0	0	0	0	0	
The Hidden Hospital	5	1	0	1	0	0	0	1	
The Hidden Office Building	9	2	1	1	0	0	0	1	
The Hidden Park	5	2	2	2	0	0	0	2	
The Hidden Temple	6	1	4	0	0	0	0	0	
The Hole in the Sky	22	0	0	0	0	0	0	0	
The Lower Chambers	10	0	3	0	0	0	0	0	
The Middle Chamber	6	5	2	2	0	0	0	4	
The Naughty Sorceress' Chamber	1	0	0	0	0	0	0	0	
The Naughty Sorceress' Tower	6	0	0	0	0	0	0	0	
The Neverending Party	0	9	0	0	0	0	0	0	
The Oasis	5	0	2	0	0	0	0	0	
The Outskirts of Cobb's Knob	6	5	2	3	0	0	0	3	
The Penultimate Fantasy Airship	22	5	6	2	0	0	0	2	
The Red Zeppelin	4	6	0	2	3	0	0	2	
The Royal Guard Chamber	1	0	0	0	0	0	0	0	
The Shore, Inc. Travel Agency	5	0	5	0	0	0	0	0	
The Smut Orc Logging Camp	15	0	3	0	0	0	0	0	
The Spooky Forest	6	6	5	0	0	0	0	2	
The Tavern Cellar	4	1	2	0	0	0	0	0	
The Themthar Hills	11	0	0	0	0	0	0	0	
The Tunnel of L.O.V.E.	0	6	0	0	0	0	0	0	
The Unquiet Garves	1	5	0	0	0	0	0	4	
The Upper Chamber	3	3	3	2	1	0	0	2	
The X-32-F Combat Training Snowman	0	10	0	0	0	0	0	0	
Throne Room	1	0	0	0	0	0	0	0	
Twin Peak	3	6	3	0	0	0	0	6	
Wartime Hippy Camp	2	0	1	0	0	0	0	0	
Wartime Hippy Camp (Frat Disguise)	6	5	1	0	0	0	0	4	
Your Witchess Set	0	5	0	0	0	0	2	0	
genie summoned monster	4	0	0	0	0	0	0	0	
photocopied monster	2	0	0	0	0	0	2	0	

====================
FAMILIAR	TURNS	ACTIONS	ACTIONTYPE
Reassembled Blackbird	18	0		
Imitation Crab	5	0		
Baby Sandworm	18	0		
Mini-Hipster	58	0		
Obtuse Angel	1	0		
Pair of Stomping Boots	96	24	runs	
Artistic Goth Kid	81	0		
Reanimated Reanimator	2	0		
Ms. Puck Man	130	0		
Machine Elf	2	0		
Trick-or-Treating Tot	1	0		
XO Skeleton	4	0		
God Lobster	9	0		
Cat Burglar	154	4	heists	
Red-Nosed Snapper	34	0	human musks	

====================
SABERTYPE	DAY	TURN	SABERMONSTER
SABER BANISH	1	21	Bunsen burner and beaker	
SABER YELLOW RAY	1	50	beanbat	
SABER YELLOW RAY	1	166	blackberry bush	
SABER YELLOW RAY	2	436	oil cartel	
SABER YELLOW RAY	2	437	Dusken Raider Ghost	
