day	turnSpent	free?	location	encounterName	familiar	items	meat	rounds	mus	mys	mox	advsGained	effectsGained	itemsUsed	skillsUsed	freeRun?	banish	freeKill	sniff	spit	copy	macroFrom	
1	1	true	Boxing Daycare	Have a Boxing Daydream	Ms. Puck Man	 | body spradium	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	N/A	Ms. Puck Man		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Haunted Pantry	sausage goblin	Mu	 | rad	0	2	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	The Tunnel of L.O.V.E.	Mu		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Enforcer	Mu	 | tombstone-shaped Crimboween cookie | rad	0	3	9	9	24	0			 | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Equipment Room	Mu		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Engineer	Mu	 | LOV Eardigan | ten-leaf clover | rad	0	3	19	14	12	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emergency Room	Mu		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Equivocator	Mu	 | rad	0	4	9	21	37	0	 | Lovebotamy (50)			0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emporium	Mu	 | LOV Enamorang	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	false	The Thinknerd Warehouse	Thinknerd Moving Robot	Melodramedary	 | rad | returned Thinknerd package	0	4	19	11	36	0		|exploding cigar		0	0	0	0	0	0		
1	2	true	The Spooky Forest	angry ghost	Melodramedary	 | psychokinetic energy blob | rad | moosemeat pie	0	3	0	0	0	0		|exploding cigar		0	0	0	0	0	0		
1	2	true	Deck of Every Card	VI - The Lovers	Melodramedary		0	-1	0	0	0	0				0	0	0	0	0	0		
1	2	false	The Thinknerd Warehouse	Thinknerd Sorting Robot	Melodramedary	 | occult jelly donut | rad | Gathered Meat-Clip	0	2	21	15	31	0				0	0	0	0	0	0		
1	3	false	The Thinknerd Warehouse	Thinknerd Moving Robot	Melodramedary	 | rad	0	2	23	19	31	0				0	0	0	0	0	0		
1	4	false	The Thinknerd Warehouse	Thinknerd Packing Robot	Melodramedary	 | rad	0	2	19	14	42	0				0	0	0	0	0	0		
1	5	false	The Thinknerd Warehouse	Thinknerd Sorting Robot	Melodramedary	 | rad	0	2	19	20	35	0				0	0	0	0	0	0		
1	6	true	The Thinknerd Warehouse	Wooof! Wooooooof!	Melodramedary	 | Ghost Dog Chow	0	-1	0	0	0	0				0	0	0	0	0	0		
1	6	false	The Thinknerd Warehouse	Thinknerd Packing Robot	Melodramedary	 | robot grease | rad | returned Thinknerd package	0	2	10	20	44	0				0	0	0	0	0	0		
1	7	false	The Thinknerd Warehouse	Thinknerd Sorting Robot	Melodramedary	 | rad	0	2	14	18	39	0				0	0	0	0	0	0		
1	8	false	The Thinknerd Warehouse	Inspecting Some Packages, Heh Heh	Melodramedary	 | Thinknerd Blind-Packed Toy	0	-1	0	0	0	0				0	0	0	0	0	0		
1	9	false	The Thinknerd Warehouse	Thinknerd Moving Robot	Melodramedary	 | rad | robot grease | rad	0	2	14	22	39	0				0	0	0	0	0	0		
1	10	true	The Spooky Forest	sausage goblin	Melodramedary	 | Source essence (2) | magical sausage casing | rad	94	3	22	25	49	0			 | EXTRACT	0	0	0	0	0	0		
