day	turnSpent	free?	location	encounterName	familiar	items	meat	rounds	mus	mys	mox	advsGained	effectsGained	itemsUsed	skillsUsed	freeRun?	banish	freeKill	sniff	spit	copy	macroFrom	
1	1	true	God Lobster	the God Lobster	God Lobster		0	4	22	10	7	0			 | STUFFED MORTAR SHELL | CLOBBER	0	0	0	0	0	0		
1	1	true	God Lobster	Granted a Boon	God Lobster	 | God Lobster's Scepter	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	God Lobster	the God Lobster	God Lobster		0	4	21	6	19	0			 | STUFFED MORTAR SHELL | GULP LATTE	0	0	0	0	0	0		
1	1	true	God Lobster	Granted a Boon	God Lobster		0	-1	0	0	0	0	 | Intuition of the God Lobster (33)			0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	The Tunnel of L.O.V.E.	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Enforcer	Baby Sandworm		15	4	77	40	16	0			 | STUFFED MORTAR SHELL	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Equipment Room	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Engineer	Baby Sandworm	 | LOV Eardigan | bag of GORP | agua de vida	14	6	77	26	20	0			 | STUFFED MORTAR SHELL | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emergency Room	Baby Sandworm		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Equivocator	Baby Sandworm		14	3	113	16	45	0	 | Lovebotamy (50)		 | STUFFED MORTAR SHELL	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emporium	Baby Sandworm	 | LOV Enamorang	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm		14	3	53	22	28	0			 | STUFFED MORTAR SHELL	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm		11	3	62	24	28	0			 | STUFFED MORTAR SHELL	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm		11	3	82	16	25	0			 | STUFFED MORTAR SHELL	0	0	0	0	0	0		
1	1	TRUE	CONSUME: chew 1 agua de vida	N/A	Baby Sandworm	 | empty agua de vida bottle	0	-1	0	0	0	5				0	0	0	0	0	0		
1	1	TRUE	CONSUME: chew 1 agua de vida	N/A	Baby Sandworm	 | empty agua de vida bottle	0	-1	0	0	0	5				0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | water purification pills | agua de vida	15	3	77	24	14	0			 | STUFFED MORTAR SHELL	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	Is There A Doctor In The House?	Baby Sandworm		11	3	60	40	32	0			 | STUFFED MORTAR SHELL	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | meadeorite	13	3	86	22	28	0			 | STUFFED MORTAR SHELL	0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | ancient medicinal herbs	15	4	73	38	35	0			 | STUFFED MORTAR SHELL	0	0	0	0	0	0		
1	1	TRUE	CONSUME: chew 1 agua de vida	N/A	Baby Sandworm	 | empty agua de vida bottle	0	-1	0	0	0	6				0	0	0	0	0	0		
1	1	true	The X-32-F Combat Training Snowman	the X-32-F Combat Training Snowman	Baby Sandworm	 | agua de vida	14	4	82	44	14	0			 | STUFFED MORTAR SHELL	0	0	0	0	0	0		
