LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
A Massive Ziggurat	1	3	0	0	0	0	0	0	
A Mob of Zeppelin Protesters	11	0	6	0	0	0	1	0	
A-Boo Peak	7	1	4	0	1	0	0	0	
An Overgrown Shrine (Northeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Northwest)	1	4	1	0	0	0	0	0	
An Overgrown Shrine (Southeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southwest)	1	3	1	0	0	0	0	0	
Chateau Painting	2	0	1	0	0	0	1	0	
Cobb's Knob Harem	3	0	1	0	0	0	0	0	
Dr. Awkward's Office	2	0	1	0	0	0	0	0	
Dr. Gordon Stuart's Science Tent	0	2	0	0	0	0	0	0	
Evoke Eldritch Horror	0	2	0	0	0	0	0	0	
Fastest Adventurer Contest	1	0	0	0	0	0	0	0	
God Lobster	0	10	0	0	0	0	0	0	
Guano Junction	1	0	1	0	0	0	0	0	
Haert of the Cyrpt	1	0	0	0	0	0	0	0	
Hippy Camp	1	2	0	1	0	0	0	2	
Inside the Palindome	7	2	2	0	0	0	0	2	
Madness Bakery	1	2	0	0	0	0	0	0	
Mist-Shrouded Peak	4	0	0	0	0	0	0	0	
Near an Abandoned Refrigerator	1	0	0	0	0	0	0	0	
Next to that Barrel with Something Burning in it	1	0	0	0	0	0	0	0	
Oil Peak	7	0	2	0	0	0	0	0	
Out by that Rusted-Out Car	3	0	0	0	0	0	0	0	
Over Where the Old Tires Are	1	0	0	0	0	0	0	0	
Smartest Adventurer Contest	1	0	0	0	0	0	0	0	
Stinkiest Adventurer Contest	1	0	0	0	0	0	0	0	
Summoning Chamber	1	0	0	0	0	0	0	0	
The Arid, Extra-Dry Desert	18	3	0	0	3	0	0	0	
The Battlefield (Frat Uniform)	44	3	1	0	0	0	0	0	
The Beanbat Chamber	1	0	0	0	0	0	0	0	
The Black Forest	12	2	2	2	0	0	0	2	
The Boss Bat's Lair	7	0	0	0	0	0	0	0	
The Castle in the Clouds in the Sky (Basement)	4	0	1	0	0	0	0	0	
The Castle in the Clouds in the Sky (Ground Floor)	3	8	3	3	0	0	0	8	
The Castle in the Clouds in the Sky (Top Floor)	5	3	2	1	0	0	0	3	
The Copperhead Club	8	7	4	3	0	0	0	5	
The Dark Elbow of the Woods	3	2	3	0	0	0	0	2	
The Dark Heart of the Woods	3	2	3	0	0	0	0	2	
The Dark Neck of the Woods	3	1	3	0	0	0	0	1	
The Deep Machine Tunnels	0	5	0	0	0	0	0	0	
The Defiled Alcove	1	2	0	1	0	0	0	1	
The Defiled Cranny	3	0	0	0	0	0	1	0	
The Defiled Niche	6	5	0	2	3	0	0	2	
The Defiled Nook	7	2	0	0	0	0	0	0	
The Feeding Chamber	1	0	0	0	0	0	0	0	
The Filthworm Queen's Chamber	3	0	0	0	0	0	0	0	
The Goatlet	3	2	0	1	0	0	0	1	
The Hatching Chamber	1	0	0	0	0	0	0	0	
The Haunted Ballroom	2	4	2	0	0	0	0	0	
The Haunted Bathroom	1	6	0	0	0	0	0	1	
The Haunted Bedroom	6	7	0	4	0	0	0	5	
The Haunted Billiards Room	16	1	4	0	0	0	0	0	
The Haunted Boiler Room	1	0	0	0	0	0	0	0	
The Haunted Conservatory	0	1	0	0	0	0	0	0	
The Haunted Gallery	2	4	1	3	0	0	0	3	
The Haunted Kitchen	4	3	0	0	2	0	0	0	
The Haunted Laundry Room	2	0	0	0	0	0	0	0	
The Haunted Library	5	1	0	1	0	0	0	1	
The Haunted Wine Cellar	2	2	0	1	0	0	0	1	
The Hedge Maze	5	0	5	0	0	0	0	0	
The Hidden Apartment Building	6	3	0	1	0	0	0	1	
The Hidden Bowling Alley	10	6	4	1	0	0	0	1	
The Hidden Hospital	4	3	0	3	0	0	0	3	
The Hidden Office Building	8	3	1	1	0	0	0	1	
The Hidden Temple	4	0	4	0	0	0	0	0	
The Hole in the Sky	2	2	0	0	0	0	0	0	
The Lower Chambers	10	0	3	0	0	0	0	0	
The Middle Chamber	7	6	2	3	1	0	0	4	
The Naughty Sorceress' Chamber	1	2	0	0	0	0	0	0	
The Naughty Sorceress' Tower	5	0	0	0	0	0	0	0	
The Neverending Party	0	30	0	0	0	0	0	0	
The Oasis	2	1	0	0	0	0	0	0	
The Outskirts of Cobb's Knob	5	6	4	1	0	0	0	1	
The Penultimate Fantasy Airship	20	15	7	3	0	0	0	3	
The Red Zeppelin	2	9	0	4	5	0	0	4	
The Royal Guard Chamber	1	0	0	0	0	0	0	0	
The Shore, Inc. Travel Agency	5	0	5	0	0	0	0	0	
The Smut Orc Logging Camp	6	0	1	0	0	0	0	0	
The Spooky Forest	8	9	5	6	0	0	0	6	
The Tavern Cellar	5	0	2	0	0	0	0	0	
The Themthar Hills	9	0	0	0	0	0	0	0	
The Tunnel of L.O.V.E.	0	9	0	0	0	0	0	0	
The Unquiet Garves	1	4	0	0	0	0	0	4	
The Upper Chamber	4	2	3	1	1	0	0	1	
The X-32-F Combat Training Snowman	1	30	0	0	0	0	0	0	
Throne Room	1	0	0	0	0	0	0	0	
Twin Peak	3	2	0	1	0	0	0	1	
Wartime Hippy Camp (Frat Disguise)	2	3	1	0	0	0	0	2	
Whitey's Grove	1	1	0	1	0	0	0	1	
Your Witchess Set	0	12	0	0	0	0	0	0	
genie summoned monster	5	1	0	0	0	0	1	0	
photocopied monster	4	0	0	0	0	0	2	0	
