day	turnSpent	free?	location	encounterName	familiar	items	meat	rounds	mus	mys	mox	advsGained	effectsGained	itemsUsed	skillsUsed	freeRun?	banish	freeKill	sniff	spit	copy	macroFrom	
1	1	true	Boxing Daycare	Have a Boxing Daydream	none	 | body spradium	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Deck of Every Card	XXI - The World	none	 | Cobb's Knob map	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	The Tunnel of L.O.V.E.	Pocket Professor		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Enforcer	Pocket Professor		0	9	0	0	0	0		|Time-Spinner	 | MICROMETEORITE | DRAGOON PLATOON | SUMMON LOVE GNATS | SUMMON LOVE STINKBUG | SUMMON LOVE MOSQUITO | COWBOY KICK	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Equipment Room	Pocket Professor		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Engineer	Pocket Professor	 | LOV Eardigan	14	8	52	35	20	0			 | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emergency Room	Pocket Professor		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	LOV Equivocator	Pocket Professor		11	12	84	20	33	0	 | Lovebotamy (50)		 | MICROMETEORITE	0	0	0	0	0	0		
1	1	true	The Tunnel of L.O.V.E.	L.O.V. Emporium	Pocket Professor	 | LOV Enamorang	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Haunted Kitchen	sausage goblin	Pocket Professor		0	6	0	0	0	0	 | Wolfish Form (1)		 | MICROMETEORITE | BECOME A WOLF	0	0	0	0	0	0		
1	1	true	Boxing Daycare	Enter the Boxing Daycare	Pocket Professor		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Boxing Daycare	Have a Boxing Daydream	Pocket Professor		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Boxing Daycare	Visit the Boxing Day Spa	Pocket Professor		0	-1	0	0	0	0	 | Muddled (100)			0	0	0	0	0	0		
1	1	true	Your Witchess Set	Witchess Rook	Pocket Professor	 | bag of GORP | Greek fire | blue pixel	10	4	167	45	98	0			 | MICROMETEORITE	0	0	0	0	0	0		
