LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
A Massive Ziggurat	1	3	0	0	0	0	0	0	
A Mob of Zeppelin Protesters	5	0	4	0	0	0	0	0	
A-Boo Peak	8	0	4	0	0	0	0	0	
An Overgrown Shrine (Northeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Northwest)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southwest)	1	3	1	0	0	0	0	0	
Boxing Daycare	1	0	1	0	0	0	0	0	
Chateau Painting	0	1	0	0	0	0	0	0	
Cobb's Knob Harem	1	0	1	0	0	0	0	0	
Cook 1 bottle of Chateau de Vinegar + 1 blasting soda	1	0	1	0	0	0	0	0	
Dr. Awkward's Office	2	0	1	0	0	0	0	0	
Fastest Adventurer Contest	1	0	0	0	0	0	0	0	
Guano Junction	1	0	1	0	0	0	0	0	
Haert of the Cyrpt	1	0	0	0	0	0	0	0	
Hippy Camp	2	0	0	0	0	0	0	0	
Inside the Palindome	10	4	2	4	0	0	0	3	
Lair of the Ninja Snowmen	10	0	0	0	0	0	0	0	
Mist-Shrouded Peak	4	0	0	0	0	0	0	0	
Near an Abandoned Refrigerator	3	0	0	0	0	0	0	0	
Next to that Barrel with Something Burning in it	5	1	0	1	0	0	0	1	
Oil Peak	6	1	1	0	0	0	0	0	
Out by that Rusted-Out Car	2	0	0	0	0	0	0	0	
Over Where the Old Tires Are	3	1	0	0	0	0	0	0	
Smartest Adventurer Contest	1	0	0	0	0	0	0	0	
Sonofa Beach	5	0	0	0	0	0	0	0	
Spookiest Adventurer Contest	1	0	0	0	0	0	0	0	
Summoning Chamber	1	0	0	0	0	0	0	0	
The Arid, Extra-Dry Desert	15	8	0	1	6	0	0	1	
The Bandit Crossroads	10	0	0	0	0	0	0	0	
The Batrat and Ratbat Burrow	2	2	0	0	0	0	1	0	
The Battlefield (Frat Uniform)	38	0	1	0	0	0	0	0	
The Beanbat Chamber	0	1	0	0	0	0	0	0	
