day	turnSpent	free?	location	encounterName	familiar	items	meat	rounds	mus	mys	mox	advsGained	effectsGained	itemsUsed	skillsUsed	freeRun?	banish	freeKill	sniff	spit	copy	macroFrom	
1	1	true	Boxing Daycare	Have a Boxing Daydream	none	 | punch-drunk punch	0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	Combing the Beach	N/A	none		0	-1	0	0	0	0	 | Hot-Headed (50)			0	0	0	0	0	0		
1	1	true	Combing the Beach	N/A	none		0	-1	0	0	0	0	 | A Brush with Grossness (50)			0	0	0	0	0	0		
1	1	true	The Haunted Kitchen	sausage goblin	Exotic Parrot	 | coin (6) | magical sausage casing | coin (4) | green pixel	115	2	1	2	0	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	1	true	The Neverending Party	N/A	Cat Burglar		0	-1	0	0	0	0				0	0	0	0	0	0		
1	1	true	The Neverending Party	burnout	Cat Burglar	 | coin (7) | van key | jam band bootleg | coin (4) | white pixel	145	2	0	3	0	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	1	true	The Neverending Party	&quot;plain&quot; girl	Cat Burglar	 | coin (7) | electronics kit | PB&J with the crusts cut off	267	2	0	4	0	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	1	true	The Neverending Party	party girl	Cat Burglar	 | coin (7) | coin (9) | runproof mascara | very small red dress | coin (4) | white pixel	229	3	3	0	0	0			 | MULTI-BOUNCE | JUMP ATTACK	0	0	0	0	0	0		
1	1	true	The Neverending Party	biker	Cat Burglar	 | coin (7) | gas can | Middle of the Road&trade; brand whiskey	284	4	1	3	0	0		|electronics kit	 | MULTI-BOUNCE | JUMP ATTACK	0	0	0	0	0	0		
1	1	true	The Neverending Party	burnout	Cat Burglar	 | coin (8) | van key | denim jacket	147	2	1	0	1	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	1	true	The Neverending Party	jock	Cat Burglar	 | coin (7) | unremarkable duffel bag | Purple Beast energy drink | cosmetic football	462	2	0	2	2	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	1	true	The Neverending Party	biker	Cat Burglar	 | coin (8) | Middle of the Road&trade; brand whiskey | neverending wallet chain	235	3	1	2	2	0			 | MULTI-BOUNCE | JUMP ATTACK	0	0	0	0	0	0		
1	1	true	The Neverending Party	Gone Kitchin'	Cat Burglar		0	-1	0	0	0	0	 | Spiced Up (20)			0	0	0	0	0	0		
1	1	true	The Neverending Party	&quot;plain&quot; girl	Cat Burglar	 | coin (6) | electronics kit | PB&J with the crusts cut off	302	2	0	3	1	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	1	true	The Neverending Party	party girl	Cat Burglar	 | coin (8) | runproof mascara | very small red dress	292	2	3	0	1	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	1	true	Your Mushroom Garden	piranha plant	Cat Burglar	 | coin (6) | mushroom | piranha pollen | coin (4) | white pixel	11	2	2	2	2	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	1	TRUE	CONSUME: chew 1 vial of humanoid growth hormone	N/A	Cat Burglar		0	-1	0	0	0	0	 | HGH-charged (30)			0	0	0	0	0	0		
1	1	true	Your Mushroom Garden	piranha plant	Cat Burglar	 | coin (6) | coin (10) | piranha pollen	15	2	0	2	3	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	1	TRUE	CONSUME: eat 1 diabolic pizza	BPTT: blood-faced volleyball, pie man was not meant to eat, Taco Dan's Taco Stand Taco, Taco Dan's Taco Stand Taco	Pocket Professor	 | Pocket Professor memory chip	0	-1	0	0	0	15	 | Bloody-minded (20)			0	0	0	0	0	0		
1	1	TRUE	CONSUME: eat 1 diabolic pizza	AMMS: anticheese, Middle of the Road&trade; brand whiskey, Middle of the Road&trade; brand whiskey, slimy fermented bile bladder	Exotic Parrot		0	-1	0	0	0	12	 | Amorous Avarice (17)			0	0	0	0	0	0		
1	1	true	Hippy Camp	dirty hippy	Cat Burglar	 | filthy corduroys | Feng Shui for Big Dumb Idiots | filthy knitted dread sack | reodorant | hippy bongo	0	0	0	0	0	0			 | USE THE FORCE | SABER YELLOW RAY	0	0	0	0	0	0		
1	1	false	The Haunted Kitchen	paper towelgeist	Exotic Parrot	 | coin (8)	13	2	4	0	2	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	2	false	The Haunted Kitchen	paper towelgeist	Exotic Parrot	 | coin (6) | Special Seasoning	13	2	2	2	2	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	3	false	The Haunted Kitchen	possessed silverware drawer	Exotic Parrot	 | coin (6) | coin (9) | corn holder | antique packet of ketchup | coin (3) | green pixel	12	2	0	3	2	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	4	false	The Haunted Kitchen	demonic icebox	Exotic Parrot	 | coin (7) | ancient frozen dinner	42	2	0	5	0	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	5	false	The Haunted Kitchen	skullery maid	Exotic Parrot	 | coin (8) | coin (10)	34	2	2	3	0	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	6	TRUE	CONSUME: eat 1 mushroom filet	N/A	Pocket Professor		0	-1	0	0	0	3				0	0	0	0	0	0		
1	6	TRUE	CONSUME: eat 1 grue egg omelette	N/A	Exotic Parrot	 | super deluxe mushroom | super deluxe mushroom	0	-1	0	0	0	0				0	0	0	0	0	0		
1	6	TRUE	CONSUME: eat 1 grue egg omelette	N/A	Exotic Parrot		0	-1	0	0	0	30				0	0	0	0	0	0		
1	6	false	The Haunted Kitchen	zombie chef	Pocket Professor	 | Spookyraven billiards room key | coin (7) | stale baguette | zombie hollandaise | coin (4) | red pixel	50	2	2	2	2	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	7	true	The Spooky Forest	bar	Exotic Parrot		0	1	0	0	0	0			 | THROW LATTE ON OPPONENT	1	1	0	0	0	0		
1	7	true	The Spooky Forest	sausage goblin	Exotic Parrot	 | coin (6) | magical sausage casing	124	2	8	14	3	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	7	true	Boxing Daycare	Enter the Boxing Daycare	Exotic Parrot		0	-1	0	0	0	0				0	0	0	0	0	0		
1	7	true	The Haunted Billiards Room	sausage goblin	Pocket Professor	 | coin (6) | deluxe mushroom | magical sausage casing	158	2	6	7	9	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	7	false	The Haunted Billiards Room	That's Your Cue	Pocket Professor	 | pool cue	0	-1	0	0	0	0				0	0	0	0	0	0		
1	8	true	The Spooky Forest	terrible mutant	Pocket Professor	 | coin (8) | glob of undifferentiated tissue	33	2	6	10	9	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	8	false	The Haunted Billiards Room	chalkdust wraith	Pocket Professor	 | coin (7) | handful of hand chalk	12	23	0	2	4	0			 | MULTI-BOUNCE | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK | JUMP ATTACK	0	0	0	0	0	0		
1	9	false	The Haunted Billiards Room	Welcome To Our ool Table	Pocket Professor	 | Spookyraven library key	0	-1	0	0	0	0				0	0	0	0	0	0		
1	10	true	The Haunted Library	Take a Look, it's in a Book!	Pocket Professor		0	-1	0	0	0	0				0	0	0	0	0	0		
1	10	false	The Haunted Library	banshee librarian	Pocket Professor	 | coin (6) | disintegrating quill pen	11	2	4	5	2	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	11	true	The Haunted Library	bookbat	Pocket Professor		0	1	0	0	0	0			 | THROW LATTE ON OPPONENT	1	1	0	0	0	0		
1	11	false	The Haunted Library	writing desk	Pocket Professor	 | coin (6) | disintegrating quill pen | coin (4) | red pixel	10	3	6	3	2	0			 | OFFER LATTE TO OPPONENT | MULTI-BOUNCE	0	0	0	1	0	0		
1	12	false	The Haunted Library	writing desk	Pocket Professor	 | coin (8) | coin (8) | inkwell	10	2	2	5	3	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	13	false	The Haunted Library	writing desk	Pocket Professor	 | coin (7) | coin (9) | inkwell | snifter of thoroughly aged brandy | coin (5) | green pixel	15	2	2	6	2	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	14	false	The Haunted Library	banshee librarian	Pocket Professor	 | coin (8)	11	2	2	2	5	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
1	15	false	The Haunted Library	writing desk	Pocket Professor	 | coin (7) | snifter of thoroughly aged brandy | Special Seasoning	15	2	4	2	4	0			 | MULTI-BOUNCE	0	0	0	0	0	0		
