LOCATION	ADVS	FREETURNS	NCs	BANISHES	FREEKILLS	SPITS	COPIERS	RUNS
A Massive Ziggurat	1	3	0	0	0	0	0	0	
A Mob of Zeppelin Protesters	4	0	4	0	0	0	0	0	
A-Boo Peak	8	1	4	0	0	0	0	0	
An Overgrown Shrine (Northeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Northwest)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southeast)	1	3	1	0	0	0	0	0	
An Overgrown Shrine (Southwest)	1	3	1	0	0	0	0	0	
Cobb's Knob Harem	2	0	1	0	0	0	0	0	
Cook 1 bottle of Chateau de Vinegar + 1 blasting soda	1	0	1	0	0	0	0	0	
Dr. Awkward's Office	2	0	1	0	0	0	0	0	
Dr. Gordon Stuart's Science Tent	0	1	0	0	0	0	0	0	
Fastest Adventurer Contest	1	0	0	0	0	0	0	0	
Frat House	1	0	0	0	0	0	0	0	
Guano Junction	1	0	1	0	0	0	0	0	
Haert of the Cyrpt	1	0	0	0	0	0	0	0	
Hippy Camp	3	0	0	0	0	0	0	0	
Inside the Palindome	8	2	3	1	0	0	0	1	
Mist-Shrouded Peak	5	0	0	0	0	0	0	0	
Near an Abandoned Refrigerator	2	0	0	0	0	0	0	0	
Next to that Barrel with Something Burning in it	2	1	0	1	0	0	0	1	
Oil Peak	6	0	1	0	0	0	0	0	
Out by that Rusted-Out Car	1	0	0	0	0	0	0	0	
Over Where the Old Tires Are	1	0	0	0	0	0	0	0	
Sonofa Beach	6	0	1	0	0	0	0	0	
Spookiest Adventurer Contest	6	0	0	0	0	0	0	0	
Strongest Adventurer Contest	1	0	0	0	0	0	0	0	
Summoning Chamber	1	0	0	0	0	0	0	0	
The Arid, Extra-Dry Desert	15	6	0	0	6	0	0	0	
The Bandit Crossroads	5	0	0	0	0	0	0	0	
The Battlefield (Frat Uniform)	43	2	1	0	0	0	0	0	
The Beanbat Chamber	1	0	0	0	0	0	0	0	
The Black Forest	16	0	4	0	0	0	0	0	
The Boss Bat's Lair	7	0	0	0	0	0	0	0	
The Castle in the Clouds in the Sky (Basement)	2	0	1	0	0	0	0	0	
The Castle in the Clouds in the Sky (Ground Floor)	11	0	2	0	0	0	0	0	
